bulletin_id,candidat_id,mission_id,date_paie,heures_indemnisees,salaire_brut_base,ifm_montant,cp_montant,total_brut,charges_patronales,cout_total_employeur
PAY-2026-1150,CAND-1387,MISS-11298,2024-08-30,70.0,3531.7,353.17,388.49,4273.36,1794.81,6068.18
PAY-2026-1151,CAND-1144,MISS-10729,2025-07-12,35.0,1495.03,149.5,164.45,1808.99,759.77,2568.76
PAY-2026-1152,CAND-1152,MISS-12926,2024-11-11,630.0,36136.07,3613.61,3974.97,43724.65,18364.35,62089.0
PAY-2026-1153,CAND-1377,MISS-11370,2026-06-29,35.0,1691.14,169.11,186.03,2046.28,859.44,2905.72
PAY-2026-1154,CAND-1482,MISS-12556,2024-09-27,17.5,849.24,84.92,93.42,1027.57,431.58,1459.16
PAY-2026-1155,CAND-1075,MISS-11058,2025-05-17,17.5,866.51,86.65,95.32,1048.48,440.36,1488.84
PAY-2026-1156,CAND-1230,MISS-10664,2026-06-14,315.0,23295.39,2329.54,2562.49,28187.42,11838.72,40026.14
PAY-2026-1157,CAND-1026,MISS-10328,2024-04-16,17.5,666.52,66.65,73.32,806.48,338.72,1145.21
PAY-2026-1158,CAND-1377,MISS-11370,2026-06-29,35.0,1691.14,169.11,186.03,2046.28,859.44,2905.72
PAY-2026-1159,CAND-1250,MISS-11104,2026-01-25,315.0,16661.76,1666.18,1832.79,20160.74,8467.51,28628.24
PAY-2026-1160,CAND-1366,MISS-12730,2024-05-25,17.5,771.26,77.13,84.84,933.22,391.95,1325.17
PAY-2026-1161,CAND-1247,MISS-11701,2026-03-23,630.0,37411.76,3741.18,4115.29,45268.23,19012.66,64280.89
PAY-2026-1162,CAND-1305,MISS-10999,2025-07-12,210.0,14239.24,1423.92,1566.32,17229.47,7236.38,24465.85
PAY-2026-1163,CAND-1097,MISS-10790,2026-08-18,630.0,21321.48,2132.15,2345.36,25799.0,10835.58,36634.58
PAY-2026-1164,CAND-1204,MISS-13041,2024-11-09,315.0,9933.59,993.36,1092.69,12019.64,5048.25,17067.89
PAY-2026-1165,CAND-1136,MISS-10358,2026-06-27,630.0,36541.04,3654.1,4019.51,44214.66,18570.16,62784.82
PAY-2026-1166,CAND-1450,MISS-11898,2025-04-10,35.0,1434.7,143.47,157.82,1735.99,729.12,2465.11
PAY-2026-1167,CAND-1370,MISS-13386,2025-03-15,70.0,4832.04,483.2,531.52,5846.77,2455.65,8302.42
PAY-2026-1168,CAND-1312,MISS-10689,2026-05-13,315.0,15679.04,1567.9,1724.69,18971.64,7968.09,26939.74
PAY-2026-1169,CAND-1442,MISS-11351,2026-05-29,210.0,6754.53,675.45,743.0,8172.98,3432.65,11605.63
PAY-2026-1170,CAND-1093,MISS-12446,2025-02-03,70.0,4704.02,470.4,517.44,5691.87,2390.59,8082.46
PAY-2026-1171,CAND-1159,MISS-10642,2024-10-16,35.0,2253.16,225.32,247.85,2726.32,1145.06,3871.38
PAY-2026-1172,CAND-1113,MISS-12052,2025-02-10,35.0,1109.42,110.94,122.04,1342.4,563.81,1906.21
PAY-2026-1173,CAND-1048,MISS-12481,2024-06-17,315.0,23290.62,2329.06,2561.97,28181.65,11836.29,40017.94
PAY-2026-1174,CAND-1326,MISS-11333,2026-04-12,315.0,9698.25,969.82,1066.81,11734.88,4928.65,16663.52
PAY-2026-1175,CAND-1453,MISS-10184,2025-04-19,70.0,4407.05,440.71,484.78,5332.53,2239.66,7572.19
PAY-2026-1176,CAND-1140,MISS-11086,2024-08-01,70.0,3876.27,387.63,426.39,4690.29,1969.92,6660.21
PAY-2026-1177,CAND-1050,MISS-10568,2024-11-09,70.0,2662.58,266.26,292.88,3221.73,1353.13,4574.85
PAY-2026-1178,CAND-1480,MISS-11358,2024-02-21,70.0,4706.44,470.64,517.71,5694.79,2391.81,8086.61
PAY-2026-1179,CAND-1349,MISS-13105,2024-05-27,70.0,4513.54,451.35,496.49,5461.38,2293.78,7755.16
PAY-2026-1180,CAND-1494,MISS-11511,2024-06-25,210.0,15242.44,1524.24,1676.67,18443.35,7746.21,26189.56
PAY-2026-1181,CAND-1263,MISS-10382,2026-02-04,35.0,1565.12,156.51,172.16,1893.8,795.4,2689.2
PAY-2026-1182,CAND-1102,MISS-11909,2026-01-21,315.0,13799.86,1379.99,1517.98,16697.82,7013.09,23710.91
PAY-2026-1183,CAND-1175,MISS-11152,2024-06-21,35.0,2147.47,214.75,236.22,2598.44,1091.34,3689.78
PAY-2026-1184,CAND-1384,MISS-11749,2024-10-11,210.0,11008.05,1100.8,1210.89,13319.74,5594.29,18914.03
PAY-2026-1185,CAND-1156,MISS-12691,2026-06-25,35.0,2305.05,230.51,253.56,2789.12,1171.43,3960.55
PAY-2026-1186,CAND-1036,MISS-13357,2024-07-07,315.0,21395.54,2139.55,2353.51,25888.6,10873.21,36761.81
PAY-2026-1187,CAND-1407,MISS-13117,2024-06-09,70.0,3695.2,369.52,406.47,4471.19,1877.9,6349.08
PAY-2026-1188,CAND-1165,MISS-11024,2026-07-11,35.0,2484.82,248.48,273.33,3006.63,1262.79,4269.42
PAY-2026-1189,CAND-1285,MISS-11226,2025-05-21,35.0,1539.48,153.95,169.34,1862.76,782.36,2645.13
PAY-2026-1190,CAND-1445,MISS-10626,2024-04-21,35.0,1060.79,106.08,116.69,1283.56,539.09,1822.65
PAY-2026-1191,CAND-1142,MISS-11974,2025-06-17,70.0,2971.18,297.12,326.83,3595.12,1509.95,5105.07
PAY-2026-1192,CAND-1129,MISS-10155,2026-01-14,210.0,9017.53,901.75,991.93,10911.21,4582.71,15493.92
PAY-2026-1193,CAND-1266,MISS-11752,2026-05-27,70.0,2545.11,254.51,279.96,3079.58,1293.42,4373.01
PAY-2026-1194,CAND-1485,MISS-13381,2024-03-31,17.5,863.4,86.34,94.97,1044.71,438.78,1483.49
PAY-2026-1195,CAND-1148,MISS-12146,2024-09-06,70.0,4857.26,485.73,534.3,5877.28,2468.46,8345.74
PAY-2026-1196,CAND-1234,MISS-12121,2026-04-27,630.0,45647.6,4564.76,5021.24,55233.6,23198.11,78431.71
PAY-2026-1197,CAND-1069,MISS-10655,2025-01-16,70.0,4963.28,496.33,545.96,6005.57,2522.34,8527.91
PAY-2026-1198,CAND-1409,MISS-13387,2024-03-14,630.0,26949.73,2694.97,2964.47,32609.17,13695.85,46305.03
PAY-2026-1199,CAND-1238,MISS-11203,2024-03-11,210.0,12583.58,1258.36,1384.19,15226.13,6394.97,21621.1
PAY-2026-1200,CAND-1392,MISS-11713,2024-08-22,630.0,31661.38,3166.14,3482.75,38310.26,16090.31,54400.57
PAY-2026-1201,CAND-1102,MISS-10807,2026-06-17,70.0,5070.89,507.09,557.8,6135.78,2577.03,8712.8
PAY-2026-1202,CAND-1037,MISS-12734,2025-07-11,630.0,30784.16,3078.42,3386.26,37248.83,15644.51,52893.34
PAY-2026-1203,CAND-1015,MISS-12323,2024-07-10,210.0,13783.98,1378.4,1516.24,16678.62,7005.02,23683.64
PAY-2026-1204,CAND-1470,MISS-11772,2025-02-16,17.5,1231.74,123.17,135.49,1490.41,625.97,2116.38
PAY-2026-1205,CAND-1377,MISS-13392,2025-06-22,210.0,14507.2,1450.72,1595.79,17553.71,7372.56,24926.27
PAY-2026-1206,CAND-1319,MISS-10686,2025-02-04,70.0,3294.55,329.46,362.4,3986.41,1674.29,5660.7
PAY-2026-1207,CAND-1484,MISS-12828,2024-08-23,70.0,2839.64,283.96,312.36,3435.96,1443.1,4879.06
PAY-2026-1208,CAND-1360,MISS-11982,2026-05-28,35.0,1820.97,182.1,200.31,2203.37,925.42,3128.79
PAY-2026-1209,CAND-1430,MISS-13141,2025-03-06,630.0,36877.64,3687.76,4056.54,44621.95,18741.22,63363.17
PAY-2026-1210,CAND-1360,MISS-11681,2024-02-27,630.0,42260.74,4226.07,4648.68,51135.5,21476.91,72612.41
PAY-2026-1211,CAND-1302,MISS-10180,2024-04-06,210.0,10541.06,1054.11,1159.52,12754.69,5356.97,18111.66
PAY-2026-1212,CAND-1239,MISS-13417,2024-11-29,210.0,13847.05,1384.7,1523.18,16754.93,7037.07,23792.0
PAY-2026-1213,CAND-1460,MISS-10266,2024-06-24,35.0,2536.12,253.61,278.97,3068.71,1288.86,4357.57
PAY-2026-1214,CAND-1257,MISS-11247,2025-02-24,35.0,1533.28,153.33,168.66,1855.26,779.21,2634.47
PAY-2026-1215,CAND-1178,MISS-11614,2024-03-09,210.0,7068.77,706.88,777.56,8553.21,3592.35,12145.56
PAY-2026-1216,CAND-1419,MISS-10229,2025-09-14,35.0,1122.68,112.27,123.49,1358.44,570.54,1928.98
PAY-2026-1217,CAND-1351,MISS-13437,2025-06-17,210.0,10695.26,1069.53,1176.48,12941.27,5435.33,18376.6
