mission_id,agence_id,client_id,candidat_id,type_contrat,statut_mission,date_debut,date_fin,heures_travaillees,taux_horaire_paye,taux_horaire_facture,coeff_facturation,chiffre_affaires,cout_salarial,marge_brute
MISS-10012,AG-20,CLI-171,CAND-1452,Recrutement CDI,Terminée,2025-12-30,2026-02-28,420,30.78,59.78,1.942,25108.77,12926.74,12182.03
MISS-10013,AG-12,CLI-129,CAND-1406,Intérim IA/Data,Terminée,2026-02-15,2026-08-14,1260,63.13,127.59,2.021,160760.69,79545.6,81215.09
MISS-10014,AG-14,CLI-111,CAND-1479,Intérim IA/Data,Terminée,2024-06-21,2024-07-01,70,55.81,113.72,2.038,7960.51,3906.93,4053.58
MISS-10015,AG-10,CLI-122,CAND-1036,Intérim IA/Data,Terminée,2024-03-01,2024-04-30,420,67.74,134.07,1.979,56307.33,28449.95,27857.38
MISS-10016,AG-05,CLI-157,CAND-1303,Intérim IA/Data,Terminée,2025-01-09,2025-01-29,140,54.23,103.52,1.909,14493.31,7591.82,6901.49
MISS-10017,AG-05,CLI-177,CAND-1426,Intérim IA/Data,Terminée,2025-12-26,2026-01-15,140,73.56,146.83,1.996,20556.2,10298.53,10257.66
MISS-10018,AG-03,CLI-132,CAND-1455,Intérim IA/Data,Terminée,2024-05-13,2024-07-12,420,45.24,81.17,1.794,34091.74,19000.36,15091.38
MISS-10019,AG-10,CLI-123,CAND-1330,Intérim IA/Data,Terminée,2026-04-07,2026-04-27,140,56.0,108.09,1.93,15132.88,7839.74,7293.15
MISS-10020,AG-05,CLI-122,CAND-1267,Intérim IA/Data,Annulée,2025-04-09,2025-06-08,420,44.06,82.48,1.872,34639.78,18506.03,16133.75
MISS-10021,AG-22,CLI-128,CAND-1440,Intérim IA/Data,En cours,2025-12-10,2026-02-08,420,61.77,119.64,1.937,50249.18,25942.2,24306.97
MISS-10022,AG-01,CLI-177,CAND-1245,Recrutement CDI,Terminée,2024-04-09,2024-07-08,630,46.72,85.17,1.823,53658.86,29432.58,24226.28
MISS-10023,AG-17,CLI-175,CAND-1316,Recrutement CDI,Terminée,2025-04-19,2025-10-16,1260,63.8,124.82,1.956,157277.05,80390.11,76886.94
MISS-10024,AG-04,CLI-137,CAND-1285,Management Transition,Terminée,2025-08-14,2025-10-13,420,61.8,127.47,2.063,53536.48,25956.32,27580.16
MISS-10025,AG-17,CLI-133,CAND-1010,Recrutement CDI,Terminée,2025-03-12,2025-04-01,140,33.27,66.54,2.0,9315.53,4657.9,4657.63
MISS-10026,AG-16,CLI-133,CAND-1470,Intérim IA/Data,Terminée,2026-07-01,2026-09-29,630,68.98,142.21,2.062,89594.52,43457.72,46136.79
MISS-10027,AG-20,CLI-114,CAND-1093,Intérim IA/Data,Terminée,2024-01-31,2024-04-30,630,72.9,144.8,1.986,91225.9,45925.84,45300.06
MISS-10028,AG-11,CLI-132,CAND-1480,Intérim IA/Data,En cours,2024-11-20,2025-02-18,630,63.96,132.83,2.077,83681.77,40295.25,43386.52
MISS-10029,AG-03,CLI-168,CAND-1130,Intérim IA/Data,Terminée,2024-04-27,2024-07-26,630,30.33,61.75,2.036,38905.57,19109.89,19795.68
MISS-10030,AG-06,CLI-143,CAND-1224,Management Transition,Terminée,2025-12-16,2026-03-16,630,71.22,132.06,1.854,83197.07,44868.37,38328.7
MISS-10031,AG-05,CLI-152,CAND-1475,Recrutement CDI,En cours,2026-06-16,2026-12-13,1260,37.1,70.02,1.887,88223.81,46747.31,41476.5
MISS-10032,AG-19,CLI-149,CAND-1273,Intérim IA/Data,Terminée,2026-06-03,2026-06-23,140,37.93,71.81,1.893,10053.21,5310.88,4742.32
MISS-10033,AG-12,CLI-120,CAND-1125,Management Transition,Terminée,2024-02-15,2024-03-06,140,59.96,112.72,1.88,15781.17,8394.34,7386.83
MISS-10034,AG-19,CLI-128,CAND-1081,Intérim IA/Data,En cours,2026-05-20,2026-05-30,70,36.28,67.06,1.848,4693.95,2539.43,2154.52
MISS-10035,AG-09,CLI-128,CAND-1495,Intérim IA/Data,Terminée,2025-08-18,2025-10-17,420,48.6,92.2,1.897,38722.48,20411.61,18310.87
MISS-10036,AG-14,CLI-118,CAND-1301,Intérim IA/Data,Terminée,2025-10-18,2025-10-23,35,52.43,100.82,1.923,3528.81,1835.05,1693.77
MISS-10037,AG-05,CLI-106,CAND-1163,Intérim IA/Data,Terminée,2025-11-17,2025-11-27,70,30.75,61.9,2.013,4332.9,2152.41,2180.49
MISS-10038,AG-13,CLI-163,CAND-1209,Intérim IA/Data,Terminée,2025-03-12,2025-04-01,140,50.6,88.84,1.756,12437.45,7084.01,5353.44
MISS-10039,AG-08,CLI-174,CAND-1171,Intérim IA/Data,Terminée,2026-03-26,2026-04-15,140,64.52,135.01,2.092,18901.6,9033.26,9868.34
MISS-10040,AG-06,CLI-115,CAND-1417,Intérim IA/Data,En cours,2025-02-15,2025-03-07,140,50.79,92.17,1.815,12904.39,7110.98,5793.41
MISS-10041,AG-09,CLI-131,CAND-1107,Management Transition,Terminée,2024-03-19,2024-04-08,140,35.02,62.71,1.791,8779.02,4902.51,3876.51
MISS-10042,AG-17,CLI-154,CAND-1273,Intérim IA/Data,Terminée,2024-10-16,2024-12-15,420,42.71,87.69,2.053,36828.84,17937.88,18890.97
MISS-10043,AG-22,CLI-164,CAND-1143,Recrutement CDI,Terminée,2024-01-08,2024-01-18,70,35.07,62.36,1.778,4365.36,2455.1,1910.26
MISS-10044,AG-06,CLI-119,CAND-1048,Intérim IA/Data,Terminée,2025-07-28,2025-09-26,420,65.23,122.53,1.878,51461.86,27396.89,24064.98
MISS-10045,AG-04,CLI-129,CAND-1321,Intérim IA/Data,En cours,2025-06-20,2025-07-10,140,68.72,132.65,1.93,18570.87,9620.31,8950.56
MISS-10046,AG-11,CLI-160,CAND-1490,Recrutement CDI,Terminée,2024-04-01,2024-04-06,35,50.49,91.02,1.803,3185.79,1767.1,1418.69
MISS-10047,AG-01,CLI-123,CAND-1196,Intérim IA/Data,Terminée,2024-08-02,2024-08-12,70,49.1,87.17,1.775,6102.1,3437.34,2664.76
MISS-10048,AG-01,CLI-135,CAND-1178,Intérim IA/Data,Terminée,2025-04-15,2025-05-05,140,57.82,102.61,1.775,14365.32,8095.37,6269.94
MISS-10049,AG-14,CLI-127,CAND-1442,Management Transition,En cours,2025-04-10,2025-10-07,1260,54.54,107.18,1.965,135051.91,68716.36,66335.54
MISS-10050,AG-15,CLI-106,CAND-1263,Intérim IA/Data,Terminée,2026-06-13,2026-07-03,140,61.13,124.32,2.034,17405.38,8557.73,8847.65
MISS-10051,AG-13,CLI-118,CAND-1093,Intérim IA/Data,Terminée,2026-06-06,2026-06-16,70,41.26,72.27,1.752,5058.68,2887.92,2170.76
MISS-10052,AG-10,CLI-149,CAND-1216,Management Transition,Annulée,2025-10-10,2025-12-09,420,54.19,107.26,1.979,45048.31,22761.14,22287.17
MISS-10053,AG-08,CLI-117,CAND-1361,Intérim IA/Data,Terminée,2026-06-04,2026-08-03,420,51.25,92.48,1.805,38841.56,21523.49,17318.07
MISS-10054,AG-16,CLI-148,CAND-1189,Intérim IA/Data,Terminée,2024-02-17,2024-08-15,1260,69.2,131.42,1.899,165590.65,87190.31,78400.35
MISS-10055,AG-04,CLI-104,CAND-1487,Intérim IA/Data,Terminée,2024-11-17,2024-12-07,140,36.78,64.94,1.766,9092.01,5149.61,3942.4
MISS-10056,AG-08,CLI-130,CAND-1445,Management Transition,Terminée,2025-08-29,2025-09-18,140,72.73,134.64,1.851,18849.84,10182.71,8667.13
MISS-10057,AG-02,CLI-101,CAND-1279,Intérim IA/Data,Terminée,2025-04-13,2025-06-12,420,38.86,78.7,2.025,33053.96,16319.56,16734.39
MISS-10058,AG-13,CLI-161,CAND-1394,Intérim IA/Data,Terminée,2026-08-06,2026-08-16,70,41.55,75.9,1.827,5312.73,2908.16,2404.57
MISS-10059,AG-20,CLI-101,CAND-1452,Management Transition,Terminée,2025-05-09,2025-11-05,1260,52.34,105.04,2.007,132344.77,65949.33,66395.44
MISS-10060,AG-15,CLI-163,CAND-1274,Intérim IA/Data,Terminée,2024-04-14,2024-10-11,1260,49.2,96.94,1.97,122144.72,61988.38,60156.34
MISS-10061,AG-21,CLI-165,CAND-1206,Intérim IA/Data,Terminée,2024-11-17,2024-11-27,70,59.66,112.42,1.884,7869.09,4175.93,3693.17
MISS-10062,AG-08,CLI-179,CAND-1344,Intérim IA/Data,Terminée,2024-11-15,2024-11-25,70,66.42,117.82,1.774,8247.48,4649.35,3598.13
MISS-10063,AG-16,CLI-115,CAND-1433,Management Transition,Terminée,2026-06-01,2026-06-21,140,45.39,87.02,1.917,12183.34,6355.16,5828.18
MISS-10064,AG-06,CLI-137,CAND-1203,Intérim IA/Data,Terminée,2025-09-03,2025-11-02,420,32.83,64.29,1.958,27002.87,13790.09,13212.78
MISS-10065,AG-11,CLI-141,CAND-1340,Intérim IA/Data,En cours,2025-08-14,2025-08-19,35,33.14,64.87,1.958,2270.29,1159.77,1110.52
MISS-10066,AG-01,CLI-149,CAND-1022,Intérim IA/Data,En cours,2026-06-01,2026-11-28,1260,51.29,92.95,1.812,117120.14,64624.06,52496.08
MISS-10067,AG-10,CLI-160,CAND-1032,Intérim IA/Data,Terminée,2025-03-30,2025-06-28,630,60.55,111.89,1.848,70491.66,38145.28,32346.38
MISS-10068,AG-02,CLI-102,CAND-1075,Intérim IA/Data,Terminée,2024-05-31,2024-06-05,35,53.85,103.47,1.922,3621.45,1884.61,1736.84
MISS-10069,AG-20,CLI-112,CAND-1386,Intérim IA/Data,Terminée,2026-04-01,2026-04-06,35,47.7,85.05,1.783,2976.62,1669.47,1307.16
MISS-10070,AG-04,CLI-141,CAND-1333,Intérim IA/Data,Terminée,2025-02-01,2025-02-11,70,59.2,111.76,1.888,7823.33,4144.19,3679.15
MISS-10071,AG-13,CLI-149,CAND-1391,Intérim IA/Data,Terminée,2024-11-07,2025-05-06,1260,62.51,125.25,2.004,157811.03,78762.43,79048.6
MISS-10072,AG-17,CLI-153,CAND-1316,Intérim IA/Data,Terminée,2025-05-01,2025-10-28,1260,61.43,109.65,1.785,138156.86,77406.51,60750.34
MISS-10073,AG-15,CLI-167,CAND-1391,Management Transition,Terminée,2025-11-12,2026-05-11,1260,38.42,75.35,1.961,94941.92,48415.0,46526.91
MISS-10074,AG-10,CLI-102,CAND-1332,Intérim IA/Data,Annulée,2025-12-09,2025-12-14,35,61.31,116.06,1.893,4062.25,2145.76,1916.49
MISS-10075,AG-14,CLI-123,CAND-1165,Recrutement CDI,En cours,2024-07-15,2024-09-13,420,72.17,149.58,2.073,62824.62,30310.98,32513.64
MISS-10076,AG-07,CLI-119,CAND-1407,Intérim IA/Data,Annulée,2025-01-14,2025-03-15,420,50.05,95.55,1.909,40129.79,21021.72,19108.07
MISS-10077,AG-12,CLI-178,CAND-1412,Intérim IA/Data,Terminée,2025-03-16,2025-03-21,35,55.49,104.55,1.884,3659.35,1942.22,1717.14
MISS-10078,AG-10,CLI-154,CAND-1071,Intérim IA/Data,En cours,2025-01-13,2025-03-14,420,68.67,122.11,1.778,51285.14,28839.31,22445.83
MISS-10079,AG-12,CLI-116,CAND-1032,Management Transition,En cours,2025-12-04,2025-12-14,70,39.9,82.03,2.056,5741.92,2792.91,2949.01
MISS-10080,AG-10,CLI-178,CAND-1079,Intérim IA/Data,Terminée,2025-03-11,2025-03-31,140,72.82,133.08,1.827,18630.73,10194.88,8435.85
MISS-10081,AG-22,CLI-178,CAND-1308,Intérim IA/Data,Terminée,2025-12-20,2026-01-09,140,59.71,111.91,1.874,15666.72,8359.41,7307.3
MISS-10082,AG-11,CLI-138,CAND-1366,Management Transition,Terminée,2025-07-15,2025-07-25,70,46.83,93.33,1.993,6533.05,3278.4,3254.65
MISS-10083,AG-14,CLI-168,CAND-1201,Intérim IA/Data,Terminée,2024-04-30,2024-05-10,70,50.96,94.81,1.86,6636.47,3567.34,3069.13
MISS-10084,AG-19,CLI-109,CAND-1133,Intérim IA/Data,Terminée,2024-06-15,2024-09-13,630,38.96,75.42,1.936,47515.42,24542.53,22972.89
MISS-10085,AG-16,CLI-147,CAND-1136,Intérim IA/Data,Terminée,2025-05-06,2025-05-26,140,55.4,105.73,1.908,14802.1,7756.26,7045.84
MISS-10086,AG-20,CLI-157,CAND-1099,Intérim IA/Data,En cours,2026-06-23,2026-07-03,70,56.0,113.24,2.022,7927.09,3920.27,4006.82
MISS-10087,AG-07,CLI-119,CAND-1191,Recrutement CDI,Terminée,2024-05-16,2024-05-21,35,54.94,101.16,1.841,3540.62,1922.73,1617.89
MISS-10088,AG-04,CLI-142,CAND-1226,Intérim IA/Data,Terminée,2026-04-29,2026-05-19,140,66.12,127.58,1.93,17861.06,9256.64,8604.42
MISS-10089,AG-16,CLI-148,CAND-1282,Intérim IA/Data,Terminée,2026-06-17,2026-06-22,35,35.06,70.2,2.002,2457.07,1227.27,1229.8
MISS-10090,AG-03,CLI-165,CAND-1474,Intérim IA/Data,Terminée,2026-08-03,2026-08-23,140,69.51,125.49,1.805,17568.6,9731.21,7837.4
MISS-10091,AG-15,CLI-158,CAND-1116,Intérim IA/Data,Terminée,2026-06-10,2026-06-20,70,32.81,59.61,1.817,4172.53,2296.95,1875.58
MISS-10092,AG-22,CLI-166,CAND-1231,Management Transition,Terminée,2026-07-16,2026-07-21,35,36.85,75.54,2.05,2643.73,1289.83,1353.9
MISS-10093,AG-19,CLI-134,CAND-1287,Intérim IA/Data,Terminée,2024-12-13,2024-12-23,70,63.86,118.97,1.863,8327.82,4470.1,3857.72
MISS-10094,AG-01,CLI-164,CAND-1199,Intérim IA/Data,Terminée,2024-12-21,2024-12-26,35,71.49,134.51,1.882,4708.01,2502.09,2205.92
MISS-10095,AG-04,CLI-118,CAND-1118,Intérim IA/Data,En cours,2024-07-30,2024-08-09,70,73.71,130.06,1.765,9104.47,5159.46,3945.01
MISS-10096,AG-21,CLI-128,CAND-1070,Recrutement CDI,Annulée,2025-06-25,2025-06-30,35,38.94,78.86,2.025,2760.23,1362.79,1397.44
MISS-10097,AG-21,CLI-149,CAND-1003,Intérim IA/Data,Terminée,2024-12-30,2025-02-28,420,36.28,69.35,1.912,29126.4,15237.18,13889.23
MISS-10098,AG-07,CLI-116,CAND-1135,Intérim IA/Data,En cours,2024-05-19,2024-07-18,420,66.06,134.51,2.036,56493.24,27744.76,28748.48
MISS-10099,AG-08,CLI-121,CAND-1482,Intérim IA/Data,En cours,2024-04-06,2024-06-05,420,42.07,87.5,2.08,36748.96,17670.85,19078.11
MISS-10100,AG-04,CLI-119,CAND-1168,Intérim IA/Data,Terminée,2024-12-10,2024-12-20,70,54.65,104.18,1.906,7292.85,3825.77,3467.08
MISS-10101,AG-11,CLI-102,CAND-1336,Management Transition,Annulée,2024-12-02,2024-12-12,70,40.74,79.66,1.955,5576.36,2851.78,2724.58
MISS-10102,AG-21,CLI-155,CAND-1399,Recrutement CDI,En cours,2025-06-30,2025-07-20,140,48.37,101.54,2.099,14215.79,6771.85,7443.94
MISS-10103,AG-15,CLI-128,CAND-1080,Management Transition,Terminée,2024-07-11,2024-09-09,420,72.06,139.11,1.93,58425.38,30266.79,28158.59
MISS-10104,AG-08,CLI-168,CAND-1212,Intérim IA/Data,Terminée,2025-04-24,2025-05-14,140,35.94,64.6,1.798,9043.57,5031.06,4012.51
MISS-10105,AG-03,CLI-159,CAND-1332,Intérim IA/Data,Terminée,2025-12-29,2026-01-03,35,67.24,134.35,1.998,4702.15,2353.5,2348.66
MISS-10106,AG-20,CLI-101,CAND-1320,Intérim IA/Data,En cours,2025-05-17,2025-06-06,140,45.91,89.97,1.959,12595.24,6427.93,6167.31
MISS-10107,AG-22,CLI-165,CAND-1158,Recrutement CDI,En cours,2026-04-12,2026-04-22,70,72.32,146.49,2.026,10254.41,5062.56,5191.85
MISS-10108,AG-03,CLI-104,CAND-1356,Intérim IA/Data,Terminée,2025-10-25,2025-12-24,420,74.75,132.62,1.774,55699.69,31393.5,24306.18
MISS-10109,AG-21,CLI-136,CAND-1316,Intérim IA/Data,Terminée,2026-02-19,2026-02-24,35,55.22,108.4,1.963,3793.9,1932.75,1861.15
MISS-10110,AG-03,CLI-159,CAND-1415,Intérim IA/Data,Terminée,2025-05-23,2025-11-19,1260,69.62,127.06,1.825,160101.17,87725.27,72375.91
MISS-10111,AG-17,CLI-179,CAND-1280,Recrutement CDI,Terminée,2025-05-12,2025-05-22,70,59.59,122.57,2.057,8579.83,4171.42,4408.41
MISS-10112,AG-22,CLI-146,CAND-1108,Intérim IA/Data,En cours,2025-02-11,2025-05-12,630,32.04,62.39,1.947,39308.16,20187.77,19120.39
MISS-10113,AG-13,CLI-172,CAND-1111,Recrutement CDI,Terminée,2024-12-30,2025-01-09,70,63.26,120.03,1.897,8401.83,4428.3,3973.54
MISS-10114,AG-07,CLI-131,CAND-1193,Intérim IA/Data,Terminée,2024-08-16,2024-10-15,420,50.39,100.38,1.992,42161.13,21162.76,20998.37
MISS-10115,AG-21,CLI-104,CAND-1299,Intérim IA/Data,En cours,2025-06-18,2025-08-17,420,61.24,111.97,1.828,47025.57,25720.35,21305.22
MISS-10116,AG-12,CLI-154,CAND-1393,Intérim IA/Data,Terminée,2024-08-10,2024-10-09,420,43.24,78.23,1.809,32857.61,18159.43,14698.18
MISS-10117,AG-20,CLI-133,CAND-1012,Intérim IA/Data,Terminée,2025-01-21,2025-04-21,630,44.26,85.98,1.943,54165.72,27883.26,26282.45
MISS-10118,AG-18,CLI-138,CAND-1325,Intérim IA/Data,Annulée,2026-02-26,2026-03-08,70,59.74,123.28,2.063,8629.6,4182.04,4447.56
MISS-10119,AG-03,CLI-108,CAND-1252,Recrutement CDI,Terminée,2024-06-27,2024-07-17,140,50.48,93.39,1.85,13074.34,7066.93,6007.4
MISS-10120,AG-09,CLI-112,CAND-1492,Recrutement CDI,Terminée,2024-08-04,2024-08-24,140,36.5,70.73,1.938,9901.84,5110.25,4791.59
MISS-10121,AG-16,CLI-126,CAND-1411,Intérim IA/Data,Terminée,2026-01-31,2026-02-20,140,70.11,136.91,1.953,19167.2,9815.14,9352.06
MISS-10122,AG-06,CLI-124,CAND-1106,Intérim IA/Data,Terminée,2026-06-28,2026-12-25,1260,58.59,113.47,1.937,142976.54,73818.11,69158.43
MISS-10123,AG-06,CLI-169,CAND-1070,Intérim IA/Data,Terminée,2026-06-27,2026-07-17,140,71.98,150.8,2.095,21111.84,10076.73,11035.11
MISS-10124,AG-02,CLI-118,CAND-1219,Management Transition,En cours,2026-04-05,2026-04-25,140,73.29,133.44,1.821,18681.8,10260.49,8421.31
MISS-10125,AG-16,CLI-122,CAND-1182,Intérim IA/Data,Terminée,2024-06-15,2024-07-05,140,38.64,68.53,1.773,9593.81,5410.08,4183.73
MISS-10126,AG-22,CLI-168,CAND-1297,Intérim IA/Data,En cours,2025-07-14,2025-08-03,140,59.83,117.12,1.957,16396.74,8376.84,8019.89
MISS-10127,AG-09,CLI-140,CAND-1425,Intérim IA/Data,Terminée,2024-12-05,2025-03-05,630,74.67,149.79,2.006,94364.85,47040.85,47324.01
MISS-10128,AG-10,CLI-129,CAND-1392,Recrutement CDI,Terminée,2026-05-07,2026-05-27,140,43.96,90.21,2.052,12629.87,6153.94,6475.93
MISS-10129,AG-17,CLI-151,CAND-1092,Intérim IA/Data,Terminée,2026-04-19,2026-10-16,1260,66.23,125.74,1.898,158429.72,83452.15,74977.57
MISS-10130,AG-02,CLI-134,CAND-1230,Intérim IA/Data,Terminée,2025-06-08,2025-06-28,140,33.45,69.62,2.081,9747.01,4683.0,5064.01
MISS-10131,AG-05,CLI-113,CAND-1186,Management Transition,Terminée,2025-05-11,2025-05-21,70,39.17,81.48,2.08,5703.55,2741.58,2961.97
MISS-10132,AG-03,CLI-141,CAND-1410,Recrutement CDI,Terminée,2024-05-16,2024-06-05,140,53.06,109.06,2.055,15268.79,7429.01,7839.78
MISS-10133,AG-02,CLI-141,CAND-1403,Intérim IA/Data,En cours,2025-01-09,2025-01-14,35,39.47,81.3,2.06,2845.49,1381.42,1464.07
MISS-10134,AG-01,CLI-141,CAND-1492,Intérim IA/Data,Terminée,2024-04-28,2024-05-18,140,55.13,113.33,2.056,15866.69,7717.54,8149.15
MISS-10135,AG-19,CLI-166,CAND-1139,Intérim IA/Data,En cours,2024-04-01,2024-05-31,420,70.85,143.13,2.02,60113.11,29757.61,30355.51
MISS-10136,AG-01,CLI-118,CAND-1275,Intérim IA/Data,Terminée,2026-02-26,2026-08-25,1260,69.66,126.74,1.82,159696.4,87768.58,71927.82
MISS-10137,AG-11,CLI-157,CAND-1368,Intérim IA/Data,Terminée,2026-05-23,2026-06-12,140,62.41,125.22,2.006,17530.6,8737.71,8792.89
MISS-10138,AG-04,CLI-112,CAND-1272,Management Transition,En cours,2024-05-03,2024-05-08,35,61.17,126.47,2.068,4426.54,2140.87,2285.67
MISS-10139,AG-12,CLI-160,CAND-1434,Intérim IA/Data,Terminée,2024-12-02,2025-01-31,420,41.64,86.81,2.085,36461.4,17487.04,18974.36
MISS-10140,AG-19,CLI-170,CAND-1377,Management Transition,Terminée,2025-07-21,2025-07-31,70,35.59,62.86,1.766,4400.29,2491.12,1909.17
MISS-10141,AG-02,CLI-155,CAND-1243,Intérim IA/Data,Terminée,2025-09-28,2025-10-08,70,53.22,105.5,1.982,7384.92,3725.22,3659.7
MISS-10142,AG-18,CLI-141,CAND-1048,Intérim IA/Data,Terminée,2024-09-14,2024-10-04,140,37.78,69.11,1.829,9675.94,5289.88,4386.06
MISS-10143,AG-16,CLI-119,CAND-1100,Intérim IA/Data,Terminée,2024-04-03,2024-09-30,1260,43.79,91.72,2.095,115563.9,55171.62,60392.29
MISS-10144,AG-04,CLI-144,CAND-1013,Intérim IA/Data,En cours,2024-03-25,2024-06-23,630,48.18,89.43,1.856,56339.03,30354.32,25984.71
MISS-10145,AG-13,CLI-161,CAND-1000,Intérim IA/Data,Terminée,2024-11-27,2025-05-26,1260,66.81,134.62,2.015,169616.34,84184.82,85431.52
MISS-10146,AG-13,CLI-178,CAND-1049,Recrutement CDI,En cours,2026-06-06,2026-06-16,70,51.18,90.29,1.764,6320.41,3582.81,2737.6
MISS-10147,AG-11,CLI-157,CAND-1479,Intérim IA/Data,Annulée,2024-05-06,2024-08-04,630,41.48,82.25,1.983,51814.71,26132.64,25682.07
MISS-10148,AG-13,CLI-156,CAND-1228,Intérim IA/Data,Terminée,2026-07-16,2026-07-26,70,65.32,132.94,2.035,9306.04,4572.06,4733.98
MISS-10149,AG-17,CLI-164,CAND-1482,Recrutement CDI,En cours,2025-10-21,2025-11-10,140,71.01,131.28,1.849,18378.77,9941.77,8437.0
MISS-10150,AG-10,CLI-145,CAND-1240,Recrutement CDI,Terminée,2025-02-20,2025-03-02,70,56.38,118.03,2.094,8262.0,3946.26,4315.74
MISS-10151,AG-14,CLI-114,CAND-1203,Management Transition,Terminée,2024-08-08,2024-08-28,140,60.33,120.71,2.001,16899.52,8445.85,8453.67
MISS-10152,AG-05,CLI-170,CAND-1166,Intérim IA/Data,Terminée,2024-04-01,2024-04-11,70,30.08,54.93,1.826,3845.07,2105.75,1739.33
MISS-10153,AG-09,CLI-122,CAND-1013,Management Transition,En cours,2024-06-25,2024-07-05,70,73.95,129.83,1.756,9087.81,5176.38,3911.43
MISS-10154,AG-13,CLI-111,CAND-1306,Intérim IA/Data,Terminée,2026-06-25,2026-07-15,140,48.01,85.43,1.78,11960.75,6721.14,5239.6
MISS-10155,AG-17,CLI-151,CAND-1129,Intérim IA/Data,Terminée,2025-12-15,2026-02-13,420,42.94,85.33,1.987,35839.26,18035.06,17804.21
MISS-10156,AG-10,CLI-126,CAND-1188,Intérim IA/Data,Terminée,2024-06-08,2024-08-07,420,67.63,134.34,1.986,56423.59,28403.97,28019.62
MISS-10157,AG-19,CLI-136,CAND-1281,Management Transition,Terminée,2025-03-18,2025-04-07,140,52.85,108.4,2.051,15176.59,7399.28,7777.3
MISS-10158,AG-19,CLI-162,CAND-1206,Management Transition,Terminée,2024-04-10,2024-04-20,70,66.41,138.02,2.078,9661.33,4648.44,5012.89
MISS-10159,AG-22,CLI-102,CAND-1125,Intérim IA/Data,En cours,2026-03-14,2026-05-13,420,69.83,143.99,2.062,60475.19,29326.71,31148.48
MISS-10160,AG-09,CLI-179,CAND-1120,Management Transition,Terminée,2026-03-17,2026-03-22,35,35.63,62.85,1.764,2199.7,1247.07,952.63
MISS-10161,AG-02,CLI-169,CAND-1162,Recrutement CDI,En cours,2024-06-25,2024-09-23,630,62.3,125.36,2.012,78977.34,39251.22,39726.13
MISS-10162,AG-17,CLI-154,CAND-1231,Management Transition,Terminée,2026-07-28,2026-09-26,420,70.27,143.71,2.045,60358.55,29511.9,30846.66
MISS-10163,AG-22,CLI-127,CAND-1085,Recrutement CDI,Terminée,2025-03-12,2025-04-01,140,57.51,114.29,1.987,16000.66,8051.97,7948.69
MISS-10164,AG-05,CLI-117,CAND-1004,Intérim IA/Data,Terminée,2025-09-16,2025-11-15,420,53.29,111.42,2.091,46795.94,22379.92,24416.03
MISS-10165,AG-17,CLI-117,CAND-1240,Intérim IA/Data,Terminée,2026-06-16,2026-06-21,35,69.98,144.59,2.066,5060.81,2449.22,2611.6
MISS-10166,AG-01,CLI-124,CAND-1048,Intérim IA/Data,Terminée,2025-05-27,2025-06-06,70,70.87,131.71,1.859,9219.52,4960.65,4258.87
