facture_id,mission_id,client_id,agence_id,date_facture,date_echeance,dso_effectif_jours,montant_ht,montant_tva,statut_paiement
FAC-2026-1030,MISS-13244,CLI-111,AG-03,2025-05-07,2025-06-21,30,44189.36,8837.87,En cours
FAC-2026-1031,MISS-13445,CLI-109,AG-09,2024-04-23,2024-06-07,30,2086.72,417.34,En cours
FAC-2026-1032,MISS-12299,CLI-167,AG-18,2024-09-24,2024-11-08,45,18345.23,3669.05,Payée
FAC-2026-1033,MISS-10311,CLI-177,AG-19,2024-03-25,2024-05-09,30,3669.34,733.87,Payée
FAC-2026-1034,MISS-13354,CLI-113,AG-03,2025-06-04,2025-07-19,45,40360.93,8072.19,Payée
FAC-2026-1035,MISS-11213,CLI-124,AG-14,2024-03-09,2024-04-23,30,48035.12,9607.02,Payée
FAC-2026-1036,MISS-12703,CLI-161,AG-11,2025-06-15,2025-07-30,120,4838.94,967.79,Payée
FAC-2026-1037,MISS-10415,CLI-138,AG-08,2025-06-20,2025-08-04,30,8243.22,1648.65,Payée
FAC-2026-1038,MISS-12334,CLI-100,AG-10,2025-10-31,2025-12-15,120,56740.65,11348.13,Payée
FAC-2026-1039,MISS-13497,CLI-135,AG-03,2026-01-16,2026-03-02,45,3164.02,632.8,En cours
FAC-2026-1040,MISS-10518,CLI-165,AG-21,2025-04-19,2025-06-03,45,9608.88,1921.78,Payée
FAC-2026-1041,MISS-10067,CLI-160,AG-10,2025-04-29,2025-06-13,45,35245.83,7049.17,Payée
FAC-2026-1042,MISS-10705,CLI-158,AG-06,2025-12-08,2026-01-22,45,2345.92,469.18,En retard (Litige)
FAC-2026-1043,MISS-11727,CLI-110,AG-19,2024-11-10,2024-12-25,45,6135.7,1227.14,En cours
FAC-2026-1044,MISS-11101,CLI-103,AG-19,2026-02-27,2026-04-13,45,20629.04,4125.81,En cours
FAC-2026-1045,MISS-10351,CLI-123,AG-22,2026-03-10,2026-04-24,45,85607.56,17121.51,En cours
FAC-2026-1046,MISS-12209,CLI-178,AG-20,2024-06-11,2024-07-26,45,2800.84,560.17,Payée
FAC-2026-1047,MISS-11467,CLI-137,AG-20,2024-12-04,2025-01-18,45,4794.71,958.94,Payée
FAC-2026-1048,MISS-11305,CLI-159,AG-20,2025-11-24,2026-01-08,30,12417.72,2483.54,Payée
FAC-2026-1049,MISS-12035,CLI-155,AG-18,2024-10-17,2024-12-01,30,19118.06,3823.61,Payée
FAC-2026-1050,MISS-13434,CLI-166,AG-06,2025-04-16,2025-05-31,30,15858.0,3171.6,Payée
FAC-2026-1051,MISS-10475,CLI-173,AG-12,2025-11-17,2026-01-01,45,6962.7,1392.54,Payée
FAC-2026-1052,MISS-13188,CLI-143,AG-10,2025-05-27,2025-07-11,60,15683.36,3136.67,Payée
FAC-2026-1053,MISS-11428,CLI-122,AG-14,2024-04-04,2024-05-19,30,41596.54,8319.31,En retard (Litige)
FAC-2026-1054,MISS-11526,CLI-140,AG-18,2025-01-04,2025-02-18,60,17045.34,3409.07,Payée
FAC-2026-1055,MISS-11042,CLI-163,AG-16,2026-02-17,2026-04-03,45,8811.54,1762.31,Payée
FAC-2026-1056,MISS-10631,CLI-111,AG-04,2024-12-31,2025-02-14,30,86153.11,17230.62,En cours
FAC-2026-1057,MISS-11974,CLI-119,AG-16,2025-06-17,2025-08-01,45,5752.89,1150.58,Payée
FAC-2026-1058,MISS-10907,CLI-159,AG-03,2024-02-11,2024-03-27,45,6230.53,1246.11,Payée
FAC-2026-1059,MISS-11653,CLI-123,AG-01,2024-08-18,2024-10-02,60,15508.99,3101.8,Payée
FAC-2026-1060,MISS-10045,CLI-129,AG-04,2025-07-20,2025-09-03,30,9285.44,1857.09,Payée
FAC-2026-1061,MISS-12669,CLI-149,AG-12,2025-01-24,2025-03-10,30,3144.8,628.96,Payée
FAC-2026-1062,MISS-13225,CLI-177,AG-20,2024-10-11,2024-11-25,30,2291.04,458.21,Payée
FAC-2026-1063,MISS-13330,CLI-129,AG-18,2024-10-27,2024-12-11,45,2459.72,491.94,Payée
FAC-2026-1064,MISS-10352,CLI-130,AG-01,2025-09-14,2025-10-29,30,8246.17,1649.23,En cours
FAC-2026-1065,MISS-10859,CLI-171,AG-22,2025-07-19,2025-09-02,45,2470.14,494.03,Payée
FAC-2026-1066,MISS-12462,CLI-118,AG-19,2025-03-02,2025-04-16,90,25922.12,5184.42,Payée
FAC-2026-1067,MISS-10999,CLI-160,AG-14,2025-07-12,2025-08-26,60,24971.36,4994.27,Payée
FAC-2026-1068,MISS-12242,CLI-117,AG-13,2026-04-14,2026-05-29,45,20875.93,4175.19,Payée
FAC-2026-1069,MISS-10813,CLI-111,AG-09,2025-12-21,2026-02-04,45,4452.7,890.54,En cours
FAC-2026-1070,MISS-10797,CLI-155,AG-13,2024-11-05,2024-12-20,30,2503.07,500.62,En cours
FAC-2026-1071,MISS-10492,CLI-109,AG-09,2024-08-06,2024-09-20,45,43794.56,8758.91,Payée
FAC-2026-1072,MISS-12895,CLI-150,AG-22,2026-03-28,2026-05-12,30,1945.24,389.05,Payée
FAC-2026-1073,MISS-10165,CLI-117,AG-17,2026-07-16,2026-08-30,60,2530.41,506.08,Payée
FAC-2026-1074,MISS-11230,CLI-159,AG-16,2024-06-18,2024-08-02,30,19127.46,3825.49,En cours
FAC-2026-1075,MISS-12546,CLI-148,AG-14,2025-11-09,2025-12-24,120,55344.0,11068.8,Payée
FAC-2026-1076,MISS-11181,CLI-153,AG-10,2025-05-28,2025-07-12,45,6766.04,1353.21,En cours
FAC-2026-1077,MISS-11877,CLI-130,AG-18,2024-02-16,2024-04-01,30,5595.68,1119.14,Payée
FAC-2026-1078,MISS-12135,CLI-106,AG-11,2025-05-13,2025-06-27,30,5041.68,1008.34,Payée
FAC-2026-1079,MISS-10266,CLI-172,AG-07,2024-06-24,2024-08-08,45,4987.4,997.48,Payée
FAC-2026-1080,MISS-11684,CLI-115,AG-20,2024-04-25,2024-06-09,30,4837.03,967.41,Payée
FAC-2026-1081,MISS-12314,CLI-166,AG-09,2025-06-26,2025-08-10,30,17723.85,3544.77,Payée
FAC-2026-1082,MISS-10110,CLI-159,AG-03,2025-06-22,2025-08-06,60,80050.59,16010.12,En cours
FAC-2026-1083,MISS-11156,CLI-170,AG-21,2026-05-27,2026-07-11,30,1647.8,329.56,Payée
FAC-2026-1084,MISS-10863,CLI-126,AG-01,2025-05-25,2025-07-09,30,16714.56,3342.91,Payée
FAC-2026-1085,MISS-10200,CLI-126,AG-01,2024-09-18,2024-11-02,30,9293.2,1858.64,Payée
FAC-2026-1086,MISS-11239,CLI-117,AG-11,2026-09-03,2026-10-18,45,7152.09,1430.42,Payée
FAC-2026-1087,MISS-12524,CLI-113,AG-08,2024-09-04,2024-10-19,30,17494.93,3498.99,Payée
FAC-2026-1088,MISS-11269,CLI-173,AG-15,2024-08-21,2024-10-05,60,29135.78,5827.16,Payée
FAC-2026-1089,MISS-12737,CLI-158,AG-07,2024-02-04,2024-03-20,45,6289.4,1257.88,Payée
FAC-2026-1090,MISS-12950,CLI-130,AG-11,2026-02-02,2026-03-19,30,5218.04,1043.61,Payée
FAC-2026-1091,MISS-11361,CLI-179,AG-20,2024-04-27,2024-06-11,45,60063.09,12012.62,Payée
FAC-2026-1092,MISS-10366,CLI-104,AG-09,2026-03-20,2026-05-04,30,86288.32,17257.66,Payée
FAC-2026-1093,MISS-12905,CLI-174,AG-11,2025-07-19,2025-09-02,30,1801.07,360.21,Payée
FAC-2026-1094,MISS-12292,CLI-125,AG-12,2024-03-01,2024-04-15,30,8840.02,1768.0,Payée
FAC-2026-1095,MISS-12115,CLI-101,AG-12,2026-02-18,2026-04-04,30,65358.74,13071.75,Payée
FAC-2026-1096,MISS-11341,CLI-134,AG-14,2025-02-07,2025-03-24,30,77889.14,15577.83,Payée
FAC-2026-1097,MISS-12429,CLI-141,AG-06,2024-08-04,2024-09-18,120,46965.1,9393.02,En cours
FAC-2026-1098,MISS-11374,CLI-104,AG-01,2025-01-22,2025-03-08,45,1669.69,333.94,Payée
FAC-2026-1099,MISS-13381,CLI-106,AG-02,2024-03-31,2024-05-15,30,1714.01,342.8,Payée
FAC-2026-1100,MISS-11937,CLI-131,AG-17,2026-04-12,2026-05-27,45,1129.38,225.88,Payée
FAC-2026-1101,MISS-12383,CLI-174,AG-10,2025-05-19,2025-07-03,30,7625.78,1525.16,Payée
FAC-2026-1102,MISS-13345,CLI-102,AG-19,2025-07-05,2025-08-19,45,6476.42,1295.28,En cours
FAC-2026-1103,MISS-11593,CLI-103,AG-01,2026-01-20,2026-03-06,30,1194.42,238.88,Payée
FAC-2026-1104,MISS-11584,CLI-140,AG-08,2025-01-14,2025-02-28,45,4566.52,913.3,Payée
FAC-2026-1105,MISS-11752,CLI-146,AG-08,2026-05-27,2026-07-11,45,5098.77,1019.75,En cours
FAC-2026-1106,MISS-11755,CLI-143,AG-14,2026-03-21,2026-05-05,45,14364.31,2872.86,Payée
FAC-2026-1107,MISS-10368,CLI-127,AG-10,2025-03-11,2025-04-25,30,7928.52,1585.7,Payée
FAC-2026-1108,MISS-12227,CLI-141,AG-18,2025-09-26,2025-11-10,30,23028.63,4605.73,Payée
FAC-2026-1109,MISS-11680,CLI-179,AG-17,2025-12-01,2026-01-15,30,5964.43,1192.89,Payée
FAC-2026-1110,MISS-13458,CLI-177,AG-03,2024-03-20,2024-05-04,30,55779.41,11155.88,En cours
FAC-2026-1111,MISS-12425,CLI-112,AG-12,2025-12-19,2026-02-02,45,79710.72,15942.14,En retard (Litige)
FAC-2026-1112,MISS-12644,CLI-132,AG-03,2025-09-20,2025-11-04,45,33306.94,6661.39,Payée
FAC-2026-1113,MISS-12997,CLI-122,AG-05,2024-03-31,2024-05-15,30,71231.08,14246.22,Payée
FAC-2026-1114,MISS-10618,CLI-102,AG-14,2024-06-15,2024-07-30,30,2406.84,481.37,Payée
FAC-2026-1115,MISS-13290,CLI-158,AG-12,2024-06-13,2024-07-28,45,2401.46,480.29,Payée
FAC-2026-1116,MISS-10156,CLI-126,AG-10,2024-07-08,2024-08-22,30,28211.8,5642.36,Payée
FAC-2026-1117,MISS-13343,CLI-117,AG-07,2025-07-10,2025-08-24,90,3274.4,654.88,Payée
FAC-2026-1118,MISS-11438,CLI-110,AG-13,2026-08-09,2026-09-23,45,4848.83,969.77,Payée
FAC-2026-1119,MISS-10771,CLI-160,AG-11,2025-04-24,2025-06-08,45,2135.31,427.06,En cours
FAC-2026-1120,MISS-10494,CLI-158,AG-04,2025-06-06,2025-07-21,45,1481.7,296.34,En retard (Litige)
FAC-2026-1121,MISS-11288,CLI-117,AG-15,2026-07-09,2026-08-23,30,1209.97,242.0,Payée
FAC-2026-1122,MISS-10582,CLI-175,AG-14,2026-03-11,2026-04-25,45,62103.44,12420.69,Payée
FAC-2026-1123,MISS-10071,CLI-149,AG-13,2024-12-07,2025-01-21,30,78905.52,15781.1,Payée
FAC-2026-1124,MISS-12514,CLI-110,AG-10,2025-04-07,2025-05-22,45,23638.06,4727.61,Payée
FAC-2026-1125,MISS-10096,CLI-128,AG-21,2025-07-25,2025-09-08,30,1380.12,276.02,Payée
FAC-2026-1126,MISS-11142,CLI-104,AG-16,2024-02-04,2024-03-20,30,13623.08,2724.62,Payée
FAC-2026-1127,MISS-11528,CLI-175,AG-19,2025-02-04,2025-03-21,30,12741.14,2548.23,Payée
FAC-2026-1128,MISS-11554,CLI-162,AG-11,2024-12-30,2025-02-13,30,5620.49,1124.1,Payée
FAC-2026-1129,MISS-10601,CLI-150,AG-07,2025-11-12,2025-12-27,45,8583.58,1716.72,Payée
FAC-2026-1130,MISS-13137,CLI-104,AG-13,2025-10-24,2025-12-08,30,2725.68,545.14,Payée
FAC-2026-1131,MISS-10369,CLI-118,AG-04,2024-12-21,2025-02-04,45,42079.76,8415.95,Payée
FAC-2026-1132,MISS-11694,CLI-100,AG-05,2026-02-11,2026-03-28,60,3507.74,701.55,Payée
FAC-2026-1133,MISS-11726,CLI-173,AG-01,2024-12-26,2025-02-09,30,4557.9,911.58,Payée
FAC-2026-1134,MISS-11056,CLI-109,AG-01,2025-07-28,2025-09-11,30,5845.63,1169.13,Payée
FAC-2026-1135,MISS-11641,CLI-127,AG-06,2025-08-12,2025-09-26,45,2766.69,553.34,Payée
FAC-2026-1136,MISS-10762,CLI-174,AG-21,2024-07-08,2024-08-22,45,1089.44,217.89,Payée
FAC-2026-1137,MISS-10180,CLI-153,AG-16,2024-04-06,2024-05-21,30,18945.05,3789.01,Payée
FAC-2026-1138,MISS-10321,CLI-105,AG-12,2025-09-17,2025-11-01,30,7094.72,1418.94,Payée
FAC-2026-1139,MISS-10258,CLI-152,AG-19,2025-05-10,2025-06-24,30,51248.74,10249.75,Payée
FAC-2026-1140,MISS-10620,CLI-157,AG-12,2026-05-08,2026-06-22,90,5794.86,1158.97,En cours
FAC-2026-1141,MISS-12212,CLI-163,AG-20,2024-03-12,2024-04-26,45,18200.81,3640.16,En retard (Litige)
FAC-2026-1142,MISS-11397,CLI-125,AG-04,2025-08-13,2025-09-27,30,89137.44,17827.49,Payée
FAC-2026-1143,MISS-10237,CLI-162,AG-08,2026-06-14,2026-07-29,45,4622.38,924.48,Payée
FAC-2026-1144,MISS-10727,CLI-123,AG-08,2026-07-29,2026-09-12,30,8645.29,1729.06,Payée
FAC-2026-1145,MISS-11282,CLI-101,AG-01,2024-06-09,2024-07-24,30,8547.41,1709.48,En cours
FAC-2026-1146,MISS-12817,CLI-146,AG-15,2025-12-24,2026-02-07,45,1453.66,290.73,Payée
FAC-2026-1147,MISS-12757,CLI-132,AG-20,2025-10-22,2025-12-06,45,38822.08,7764.42,Payée
FAC-2026-1148,MISS-12165,CLI-168,AG-05,2026-01-11,2026-02-25,30,7094.32,1418.86,Payée
FAC-2026-1149,MISS-12204,CLI-112,AG-18,2025-02-12,2025-03-29,30,2078.18,415.64,Payée
FAC-2026-1150,MISS-13284,CLI-121,AG-18,2026-03-27,2026-05-11,45,11667.0,2333.4,Payée
FAC-2026-1151,MISS-11516,CLI-153,AG-08,2024-07-07,2024-08-21,60,5816.95,1163.39,Payée
FAC-2026-1152,MISS-12290,CLI-112,AG-17,2025-09-14,2025-10-29,30,3310.21,662.04,Payée
FAC-2026-1153,MISS-11520,CLI-160,AG-20,2025-08-06,2025-09-20,45,88694.14,17738.83,Payée
FAC-2026-1154,MISS-11134,CLI-114,AG-06,2026-06-22,2026-08-06,30,30152.12,6030.42,Payée
FAC-2026-1155,MISS-10639,CLI-172,AG-01,2026-02-26,2026-04-12,90,87800.36,17560.07,Payée
FAC-2026-1156,MISS-12230,CLI-167,AG-15,2026-03-16,2026-04-30,45,19861.54,3972.31,Payée
FAC-2026-1157,MISS-12321,CLI-167,AG-07,2026-06-17,2026-08-01,45,1512.22,302.44,En cours
FAC-2026-1158,MISS-10061,CLI-165,AG-21,2024-12-17,2025-01-31,120,3934.54,786.91,Payée
FAC-2026-1159,MISS-12419,CLI-130,AG-13,2024-07-28,2024-09-11,30,7954.58,1590.92,En retard (Litige)
FAC-2026-1160,MISS-12925,CLI-153,AG-06,2024-11-05,2024-12-20,45,3657.64,731.53,Payée
FAC-2026-1161,MISS-12162,CLI-153,AG-18,2024-10-22,2024-12-06,120,8221.34,1644.27,Payée
FAC-2026-1162,MISS-10270,CLI-134,AG-15,2025-05-11,2025-06-25,60,8659.54,1731.91,Payée
FAC-2026-1163,MISS-12211,CLI-135,AG-01,2026-03-21,2026-05-05,60,26935.71,5387.14,Payée
FAC-2026-1164,MISS-12165,CLI-168,AG-05,2026-01-11,2026-02-25,45,7094.32,1418.86,Payée
FAC-2026-1165,MISS-12624,CLI-128,AG-10,2025-03-15,2025-04-29,45,23465.5,4693.1,Payée
FAC-2026-1166,MISS-13314,CLI-147,AG-18,2025-07-03,2025-08-17,30,6110.59,1222.12,Payée
FAC-2026-1167,MISS-10003,CLI-138,AG-02,2025-12-21,2026-02-04,45,1255.45,251.09,Payée
FAC-2026-1168,MISS-10509,CLI-160,AG-08,2024-12-12,2025-01-26,30,7518.9,1503.78,Payée
FAC-2026-1169,MISS-11474,CLI-100,AG-22,2024-10-24,2024-12-08,45,26698.48,5339.7,Payée
FAC-2026-1170,MISS-12630,CLI-116,AG-06,2026-01-28,2026-03-14,30,8227.61,1645.52,Payée
FAC-2026-1171,MISS-10605,CLI-163,AG-03,2026-01-01,2026-02-15,30,22434.35,4486.87,Payée
FAC-2026-1172,MISS-11456,CLI-157,AG-20,2026-01-21,2026-03-07,45,3804.5,760.9,En cours
FAC-2026-1173,MISS-12519,CLI-105,AG-16,2024-12-06,2025-01-20,30,23609.92,4721.98,Payée
FAC-2026-1174,MISS-10987,CLI-107,AG-03,2026-02-05,2026-03-22,30,6239.55,1247.91,En cours
FAC-2026-1175,MISS-11614,CLI-146,AG-02,2024-03-09,2024-04-23,30,13783.04,2756.61,Payée
FAC-2026-1176,MISS-11556,CLI-157,AG-20,2024-11-24,2025-01-08,45,25280.35,5056.07,Payée
FAC-2026-1177,MISS-10937,CLI-139,AG-04,2024-07-03,2024-08-17,30,2991.8,598.36,Payée
FAC-2026-1178,MISS-12874,CLI-105,AG-19,2025-09-03,2025-10-18,45,3198.5,639.7,Payée
FAC-2026-1179,MISS-12192,CLI-112,AG-17,2025-07-27,2025-09-10,45,6971.54,1394.31,Payée
FAC-2026-1180,MISS-10909,CLI-155,AG-20,2026-04-26,2026-06-10,30,6909.18,1381.84,Payée
FAC-2026-1181,MISS-12546,CLI-148,AG-14,2025-11-09,2025-12-24,120,55344.0,11068.8,Payée
FAC-2026-1182,MISS-11582,CLI-120,AG-03,2024-02-05,2024-03-21,90,13993.0,2798.6,Payée
FAC-2026-1183,MISS-10276,CLI-169,AG-22,2025-02-08,2025-03-25,30,7640.94,1528.19,En cours
FAC-2026-1184,MISS-11940,CLI-176,AG-13,2026-03-31,2026-05-15,60,3940.12,788.02,Payée
FAC-2026-1185,MISS-12915,CLI-166,AG-13,2025-04-09,2025-05-24,90,4542.06,908.41,Payée
FAC-2026-1186,MISS-12001,CLI-101,AG-03,2024-07-29,2024-09-12,45,30640.32,6128.06,Payée
FAC-2026-1187,MISS-10439,CLI-175,AG-02,2025-10-05,2025-11-19,30,27993.32,5598.67,En cours
FAC-2026-1188,MISS-11546,CLI-154,AG-02,2024-12-09,2025-01-23,30,1755.97,351.19,Payée
FAC-2026-1189,MISS-10480,CLI-131,AG-02,2026-05-12,2026-06-26,60,9733.68,1946.74,Payée
FAC-2026-1190,MISS-12509,CLI-108,AG-20,2024-09-30,2024-11-14,30,27621.94,5524.39,En cours
FAC-2026-1191,MISS-12218,CLI-155,AG-18,2024-07-08,2024-08-22,45,3137.64,627.53,Payée
FAC-2026-1192,MISS-12804,CLI-174,AG-03,2024-02-29,2024-04-14,60,1968.66,393.73,En cours
FAC-2026-1193,MISS-12973,CLI-178,AG-20,2025-02-09,2025-03-26,30,2513.16,502.63,Payée
FAC-2026-1194,MISS-11080,CLI-112,AG-16,2025-08-05,2025-09-19,120,4532.18,906.44,Payée
FAC-2026-1195,MISS-12296,CLI-126,AG-01,2025-01-09,2025-02-23,30,43379.54,8675.91,Payée
FAC-2026-1196,MISS-12920,CLI-126,AG-10,2024-02-25,2024-04-10,45,79494.2,15898.84,Payée
FAC-2026-1197,MISS-10060,CLI-163,AG-15,2024-05-14,2024-06-28,30,61072.36,12214.47,Payée
FAC-2026-1198,MISS-11436,CLI-147,AG-08,2024-11-23,2025-01-07,90,23841.3,4768.26,Payée
FAC-2026-1199,MISS-11637,CLI-169,AG-13,2025-10-17,2025-12-01,45,46036.4,9207.28,Payée
FAC-2026-1200,MISS-13429,CLI-121,AG-18,2025-11-10,2025-12-25,45,7491.45,1498.29,Payée
FAC-2026-1201,MISS-12317,CLI-153,AG-09,2025-07-25,2025-09-08,45,6685.0,1337.0,Payée
FAC-2026-1202,MISS-11965,CLI-103,AG-17,2025-02-10,2025-03-27,45,12351.29,2470.26,Payée
FAC-2026-1203,MISS-10597,CLI-166,AG-06,2024-07-17,2024-08-31,60,5886.44,1177.29,En retard (Litige)
FAC-2026-1204,MISS-10056,CLI-130,AG-08,2025-09-28,2025-11-12,60,9424.92,1884.98,Payée
FAC-2026-1205,MISS-13447,CLI-152,AG-05,2025-02-13,2025-03-30,30,90936.5,18187.3,Payée
FAC-2026-1206,MISS-10702,CLI-144,AG-01,2024-02-23,2024-04-08,45,21470.14,4294.03,Payée
FAC-2026-1207,MISS-12435,CLI-146,AG-10,2025-05-02,2025-06-16,45,4876.02,975.2,Payée
FAC-2026-1208,MISS-10363,CLI-127,AG-14,2024-09-23,2024-11-07,45,2158.43,431.69,En retard (Litige)
FAC-2026-1209,MISS-11261,CLI-163,AG-01,2026-08-11,2026-09-25,30,3726.08,745.22,Payée
FAC-2026-1210,MISS-10193,CLI-159,AG-07,2025-08-24,2025-10-08,90,4963.69,992.74,Payée
FAC-2026-1211,MISS-10890,CLI-127,AG-11,2025-02-13,2025-03-30,30,8507.48,1701.5,Payée
FAC-2026-1212,MISS-13474,CLI-178,AG-13,2026-05-20,2026-07-04,120,19529.58,3905.92,Payée
FAC-2026-1213,MISS-11155,CLI-153,AG-18,2026-07-09,2026-08-23,30,7095.38,1419.08,Payée
FAC-2026-1214,MISS-11437,CLI-147,AG-10,2026-08-08,2026-09-22,30,24658.94,4931.79,Payée
FAC-2026-1215,MISS-10301,CLI-162,AG-14,2025-11-23,2026-01-07,45,9889.02,1977.8,Payée
FAC-2026-1216,MISS-12755,CLI-115,AG-17,2025-12-24,2026-02-07,30,22160.3,4432.06,Payée
FAC-2026-1217,MISS-11577,CLI-122,AG-01,2024-04-27,2024-06-11,60,57121.2,11424.24,Payée
FAC-2026-1218,MISS-12826,CLI-139,AG-04,2024-11-10,2024-12-25,30,9744.09,1948.82,En cours
FAC-2026-1219,MISS-11358,CLI-134,AG-05,2024-02-21,2024-04-06,120,9774.59,1954.92,Payée
FAC-2026-1220,MISS-11874,CLI-137,AG-22,2025-12-30,2026-02-13,30,19613.1,3922.62,Payée
FAC-2026-1221,MISS-11013,CLI-100,AG-10,2026-05-16,2026-06-30,30,70065.89,14013.18,Payée
FAC-2026-1222,MISS-13455,CLI-142,AG-17,2024-11-17,2025-01-01,45,38605.68,7721.14,Payée
FAC-2026-1223,MISS-10418,CLI-146,AG-09,2025-08-30,2025-10-14,45,72131.93,14426.39,Payée
FAC-2026-1224,MISS-13319,CLI-175,AG-13,2025-09-22,2025-11-06,30,7639.0,1527.8,Payée
FAC-2026-1225,MISS-12895,CLI-150,AG-22,2026-03-28,2026-05-12,90,1945.24,389.05,En cours
FAC-2026-1226,MISS-11783,CLI-153,AG-17,2026-06-30,2026-08-14,30,64969.5,12993.9,Payée
FAC-2026-1227,MISS-12014,CLI-149,AG-09,2025-04-10,2025-05-25,30,5647.2,1129.44,Payée
FAC-2026-1228,MISS-11374,CLI-104,AG-01,2025-01-22,2025-03-08,30,1669.69,333.94,Payée
FAC-2026-1229,MISS-10976,CLI-150,AG-03,2025-12-31,2026-02-14,120,7348.42,1469.69,En cours
FAC-2026-1230,MISS-12199,CLI-155,AG-12,2025-08-13,2025-09-27,60,19706.56,3941.31,Payée
FAC-2026-1231,MISS-10188,CLI-134,AG-02,2025-05-31,2025-07-15,45,5251.06,1050.21,Payée
FAC-2026-1232,MISS-12937,CLI-122,AG-19,2026-02-05,2026-03-22,30,5191.8,1038.36,Payée
FAC-2026-1233,MISS-11012,CLI-141,AG-21,2025-02-07,2025-03-24,60,4243.23,848.65,Payée
FAC-2026-1234,MISS-11353,CLI-150,AG-08,2025-06-09,2025-07-24,30,2586.7,517.34,Payée
FAC-2026-1235,MISS-11651,CLI-113,AG-20,2024-11-20,2025-01-04,45,7977.16,1595.43,En cours
FAC-2026-1236,MISS-11910,CLI-139,AG-03,2024-11-09,2024-12-24,30,19920.62,3984.12,Payée
FAC-2026-1237,MISS-11713,CLI-156,AG-07,2024-08-22,2024-10-06,30,56639.94,11327.99,Payée
FAC-2026-1238,MISS-11889,CLI-135,AG-16,2024-09-01,2024-10-16,45,3558.8,711.76,Payée
