candidat_id,nom_prenom,metier_principal,statut,experience_annees
CAND-1238,Candidat 239,Chef de Projet IA,En mission,4
CAND-1239,Candidat 240,Data Engineer,Disponible,5
CAND-1240,Candidat 241,Data Engineer,En mission,11
CAND-1241,Candidat 242,Consultant PowerBI / Tableau,Disponible,2
CAND-1242,Candidat 243,Directeur Transition,En mission,14
CAND-1243,Candidat 244,Chef de Projet IA,Disponible,12
CAND-1244,Candidat 245,Consultant BI as Code,En mission,11
CAND-1245,Candidat 246,Ingénieur Qualité,En mission,4
CAND-1246,Candidat 247,Ingénieur Qualité,En mission,3
CAND-1247,Candidat 248,Consultant PowerBI / Tableau,Disponible,3
CAND-1248,Candidat 249,Directeur Transition,Disponible,15
CAND-1249,Candidat 250,Data Engineer,En mission,2
CAND-1250,Candidat 251,Data Engineer,En mission,9
CAND-1251,Candidat 252,Ingénieur Qualité,Disponible,4
CAND-1252,Candidat 253,Consultant PowerBI / Tableau,En mission,17
CAND-1253,Candidat 254,Chef de Projet IA,Disponible,4
CAND-1254,Candidat 255,Data Engineer,En mission,7
CAND-1255,Candidat 256,Chef de Projet IA,En mission,14
CAND-1256,Candidat 257,Directeur Transition,En mission,9
CAND-1257,Candidat 258,Data Engineer,En mission,14
CAND-1258,Candidat 259,Data Engineer,Disponible,16
CAND-1259,Candidat 260,Analytics Engineer,En mission,10
CAND-1260,Candidat 261,Data Engineer,En mission,10
CAND-1261,Candidat 262,Consultant BI as Code,Disponible,5
CAND-1262,Candidat 263,Consultant PowerBI / Tableau,En mission,15
CAND-1263,Candidat 264,Consultant PowerBI / Tableau,En mission,6
CAND-1264,Candidat 265,Chef de Projet IA,En entretien,3
CAND-1265,Candidat 266,Directeur Transition,Disponible,12
CAND-1266,Candidat 267,Data Engineer,En mission,10
CAND-1267,Candidat 268,Consultant BI as Code,En entretien,9
CAND-1268,Candidat 269,Chef de Projet IA,Disponible,4
CAND-1269,Candidat 270,Analytics Engineer,En mission,12
CAND-1270,Candidat 271,Chef de Projet IA,En mission,13
CAND-1271,Candidat 272,Chef de Projet IA,Disponible,14
CAND-1272,Candidat 273,Data Engineer,Disponible,10
CAND-1273,Candidat 274,Analytics Engineer,En mission,4
CAND-1274,Candidat 275,Chef de Projet IA,Disponible,10
CAND-1275,Candidat 276,Consultant BI as Code,Disponible,3
CAND-1276,Candidat 277,Consultant BI as Code,En mission,13
CAND-1277,Candidat 278,Consultant PowerBI / Tableau,En mission,11
CAND-1278,Candidat 279,Analytics Engineer,En mission,10
CAND-1279,Candidat 280,Analytics Engineer,Disponible,16
CAND-1280,Candidat 281,Consultant PowerBI / Tableau,En mission,9
CAND-1281,Candidat 282,Chef de Projet IA,En mission,10
CAND-1282,Candidat 283,Analytics Engineer,Disponible,6
CAND-1283,Candidat 284,Consultant BI as Code,Disponible,12
CAND-1284,Candidat 285,Consultant BI as Code,En mission,12
CAND-1285,Candidat 286,Data Engineer,Disponible,3
CAND-1286,Candidat 287,Analytics Engineer,En mission,9
CAND-1287,Candidat 288,Chef de Projet IA,Disponible,13
CAND-1288,Candidat 289,Consultant PowerBI / Tableau,En mission,16
CAND-1289,Candidat 290,Consultant PowerBI / Tableau,En mission,7
CAND-1290,Candidat 291,Chef de Projet IA,Disponible,9
CAND-1291,Candidat 292,Directeur Transition,En mission,12
CAND-1292,Candidat 293,Ingénieur Qualité,En mission,6
CAND-1293,Candidat 294,Data Engineer,Disponible,17
CAND-1294,Candidat 295,Consultant PowerBI / Tableau,Disponible,11
CAND-1295,Candidat 296,Analytics Engineer,Disponible,3
CAND-1296,Candidat 297,Data Engineer,Disponible,7
CAND-1297,Candidat 298,Analytics Engineer,En mission,6
CAND-1298,Candidat 299,Directeur Transition,En mission,13
CAND-1299,Candidat 300,Consultant BI as Code,En mission,17
CAND-1300,Candidat 301,Data Engineer,En mission,14
CAND-1301,Candidat 302,Consultant PowerBI / Tableau,En entretien,13
CAND-1302,Candidat 303,Data Engineer,En mission,6
CAND-1303,Candidat 304,Data Engineer,En mission,14
CAND-1304,Candidat 305,Data Engineer,En mission,2
CAND-1305,Candidat 306,Ingénieur Qualité,En entretien,3
CAND-1306,Candidat 307,Data Engineer,En mission,9
CAND-1307,Candidat 308,Analytics Engineer,En mission,14
CAND-1308,Candidat 309,Consultant BI as Code,En mission,17
CAND-1309,Candidat 310,Directeur Transition,Disponible,15
CAND-1310,Candidat 311,Chef de Projet IA,En mission,14
CAND-1311,Candidat 312,Data Engineer,Disponible,4
CAND-1312,Candidat 313,Consultant PowerBI / Tableau,En entretien,11
CAND-1313,Candidat 314,Data Engineer,En mission,4
CAND-1314,Candidat 315,Consultant PowerBI / Tableau,Disponible,9
CAND-1315,Candidat 316,Analytics Engineer,En entretien,9
CAND-1316,Candidat 317,Consultant PowerBI / Tableau,Disponible,3
CAND-1317,Candidat 318,Chef de Projet IA,En mission,9
CAND-1318,Candidat 319,Consultant BI as Code,En mission,12
CAND-1319,Candidat 320,Consultant PowerBI / Tableau,Disponible,14
CAND-1320,Candidat 321,Consultant PowerBI / Tableau,En mission,14
CAND-1321,Candidat 322,Consultant BI as Code,Disponible,2
CAND-1322,Candidat 323,Chef de Projet IA,En entretien,7
CAND-1323,Candidat 324,Data Engineer,En entretien,9
CAND-1324,Candidat 325,Consultant PowerBI / Tableau,En mission,4
CAND-1325,Candidat 326,Consultant BI as Code,En mission,17
CAND-1326,Candidat 327,Analytics Engineer,En entretien,9
CAND-1327,Candidat 328,Consultant BI as Code,Disponible,13
CAND-1328,Candidat 329,Analytics Engineer,En mission,2
CAND-1329,Candidat 330,Chef de Projet IA,En entretien,12
CAND-1330,Candidat 331,Data Engineer,Disponible,12
CAND-1331,Candidat 332,Consultant BI as Code,En mission,17
CAND-1332,Candidat 333,Directeur Transition,En mission,10
CAND-1333,Candidat 334,Directeur Transition,En mission,14
CAND-1334,Candidat 335,Ingénieur Qualité,En mission,12
CAND-1335,Candidat 336,Consultant PowerBI / Tableau,En mission,14
CAND-1336,Candidat 337,Chef de Projet IA,Disponible,10
CAND-1337,Candidat 338,Consultant BI as Code,En mission,6
CAND-1338,Candidat 339,Directeur Transition,En mission,11
CAND-1339,Candidat 340,Consultant PowerBI / Tableau,En mission,5
CAND-1340,Candidat 341,Directeur Transition,En mission,16
CAND-1341,Candidat 342,Consultant BI as Code,En entretien,12
CAND-1342,Candidat 343,Analytics Engineer,En mission,7
CAND-1343,Candidat 344,Consultant BI as Code,En mission,13
CAND-1344,Candidat 345,Ingénieur Qualité,Disponible,8
CAND-1345,Candidat 346,Consultant BI as Code,En mission,6
CAND-1346,Candidat 347,Consultant BI as Code,En mission,12
CAND-1347,Candidat 348,Ingénieur Qualité,En mission,14
CAND-1348,Candidat 349,Chef de Projet IA,En mission,11
CAND-1349,Candidat 350,Consultant BI as Code,En mission,10
CAND-1350,Candidat 351,Ingénieur Qualité,En mission,4
CAND-1351,Candidat 352,Consultant PowerBI / Tableau,En mission,16
CAND-1352,Candidat 353,Analytics Engineer,En entretien,8
CAND-1353,Candidat 354,Analytics Engineer,En mission,11
CAND-1354,Candidat 355,Consultant BI as Code,En mission,11
CAND-1355,Candidat 356,Chef de Projet IA,Disponible,17
CAND-1356,Candidat 357,Chef de Projet IA,En mission,12
CAND-1357,Candidat 358,Consultant PowerBI / Tableau,Disponible,6
CAND-1358,Candidat 359,Consultant BI as Code,En mission,15
CAND-1359,Candidat 360,Analytics Engineer,En entretien,8
CAND-1360,Candidat 361,Chef de Projet IA,En mission,16
CAND-1361,Candidat 362,Consultant BI as Code,En mission,3
CAND-1362,Candidat 363,Directeur Transition,En mission,5
CAND-1363,Candidat 364,Chef de Projet IA,En entretien,3
CAND-1364,Candidat 365,Ingénieur Qualité,En mission,15
CAND-1365,Candidat 366,Directeur Transition,En mission,14
CAND-1366,Candidat 367,Chef de Projet IA,En mission,14
CAND-1367,Candidat 368,Analytics Engineer,Disponible,13
CAND-1368,Candidat 369,Data Engineer,En mission,8
CAND-1369,Candidat 370,Directeur Transition,Disponible,3
CAND-1370,Candidat 371,Consultant PowerBI / Tableau,En mission,17
CAND-1371,Candidat 372,Consultant PowerBI / Tableau,En mission,14
CAND-1372,Candidat 373,Analytics Engineer,En mission,15
CAND-1373,Candidat 374,Chef de Projet IA,En mission,12
CAND-1374,Candidat 375,Consultant BI as Code,En mission,2
CAND-1375,Candidat 376,Chef de Projet IA,En mission,10
CAND-1376,Candidat 377,Analytics Engineer,Disponible,2
CAND-1377,Candidat 378,Consultant PowerBI / Tableau,En mission,9
CAND-1378,Candidat 379,Chef de Projet IA,En mission,16
CAND-1379,Candidat 380,Consultant PowerBI / Tableau,En mission,3
CAND-1380,Candidat 381,Directeur Transition,En mission,13
CAND-1381,Candidat 382,Consultant BI as Code,En mission,17
CAND-1382,Candidat 383,Directeur Transition,En mission,9
CAND-1383,Candidat 384,Consultant PowerBI / Tableau,En mission,14
CAND-1384,Candidat 385,Consultant PowerBI / Tableau,Disponible,4
CAND-1385,Candidat 386,Data Engineer,En entretien,17
CAND-1386,Candidat 387,Data Engineer,En mission,7
CAND-1387,Candidat 388,Directeur Transition,En mission,4
CAND-1388,Candidat 389,Ingénieur Qualité,Disponible,15
CAND-1389,Candidat 390,Directeur Transition,En mission,8
CAND-1390,Candidat 391,Data Engineer,En mission,11
CAND-1391,Candidat 392,Consultant PowerBI / Tableau,En mission,10
CAND-1392,Candidat 393,Analytics Engineer,Disponible,17
CAND-1393,Candidat 394,Directeur Transition,Disponible,3
CAND-1394,Candidat 395,Consultant PowerBI / Tableau,En mission,16
CAND-1395,Candidat 396,Analytics Engineer,En mission,13
CAND-1396,Candidat 397,Analytics Engineer,En mission,13
CAND-1397,Candidat 398,Data Engineer,Disponible,16
CAND-1398,Candidat 399,Directeur Transition,En mission,15
CAND-1399,Candidat 400,Chef de Projet IA,En mission,6
CAND-1400,Candidat 401,Consultant BI as Code,Disponible,14
CAND-1401,Candidat 402,Data Engineer,En mission,7
CAND-1402,Candidat 403,Data Engineer,Disponible,5
CAND-1403,Candidat 404,Chef de Projet IA,En mission,5
CAND-1404,Candidat 405,Consultant BI as Code,En mission,17
CAND-1405,Candidat 406,Consultant PowerBI / Tableau,En mission,5
CAND-1406,Candidat 407,Ingénieur Qualité,Disponible,3
CAND-1407,Candidat 408,Directeur Transition,Disponible,5
CAND-1408,Candidat 409,Ingénieur Qualité,Disponible,12
CAND-1409,Candidat 410,Consultant PowerBI / Tableau,En mission,17
CAND-1410,Candidat 411,Data Engineer,Disponible,2
CAND-1411,Candidat 412,Consultant BI as Code,En mission,13
CAND-1412,Candidat 413,Data Engineer,En mission,7
CAND-1413,Candidat 414,Analytics Engineer,Disponible,2
CAND-1414,Candidat 415,Data Engineer,En mission,11
CAND-1415,Candidat 416,Data Engineer,En mission,7
CAND-1416,Candidat 417,Consultant PowerBI / Tableau,En mission,2
CAND-1417,Candidat 418,Consultant PowerBI / Tableau,En mission,7
CAND-1418,Candidat 419,Consultant PowerBI / Tableau,En mission,11
CAND-1419,Candidat 420,Ingénieur Qualité,En mission,9
CAND-1420,Candidat 421,Analytics Engineer,En mission,12
CAND-1421,Candidat 422,Consultant PowerBI / Tableau,Disponible,3
CAND-1422,Candidat 423,Consultant BI as Code,Disponible,3
CAND-1423,Candidat 424,Ingénieur Qualité,En mission,15
CAND-1424,Candidat 425,Chef de Projet IA,En mission,17
CAND-1425,Candidat 426,Consultant BI as Code,En mission,16
CAND-1426,Candidat 427,Directeur Transition,En mission,14
CAND-1427,Candidat 428,Directeur Transition,En mission,13
CAND-1428,Candidat 429,Consultant BI as Code,Disponible,5
CAND-1429,Candidat 430,Consultant PowerBI / Tableau,En mission,12
CAND-1430,Candidat 431,Chef de Projet IA,En mission,4
CAND-1431,Candidat 432,Chef de Projet IA,En mission,5
CAND-1432,Candidat 433,Ingénieur Qualité,En mission,14
CAND-1433,Candidat 434,Chef de Projet IA,En entretien,13
CAND-1434,Candidat 435,Directeur Transition,Disponible,8
CAND-1435,Candidat 436,Analytics Engineer,En mission,14
CAND-1436,Candidat 437,Consultant PowerBI / Tableau,Disponible,12
CAND-1437,Candidat 438,Chef de Projet IA,En mission,2
CAND-1438,Candidat 439,Ingénieur Qualité,Disponible,7
CAND-1439,Candidat 440,Directeur Transition,Disponible,16
CAND-1440,Candidat 441,Analytics Engineer,En mission,16
CAND-1441,Candidat 442,Data Engineer,En mission,17
CAND-1442,Candidat 443,Data Engineer,En mission,4
CAND-1443,Candidat 444,Analytics Engineer,En mission,12
CAND-1444,Candidat 445,Directeur Transition,Disponible,11
CAND-1445,Candidat 446,Ingénieur Qualité,En mission,8
CAND-1446,Candidat 447,Analytics Engineer,En mission,11
CAND-1447,Candidat 448,Consultant PowerBI / Tableau,Disponible,3
CAND-1448,Candidat 449,Consultant PowerBI / Tableau,En entretien,15
CAND-1449,Candidat 450,Data Engineer,En mission,3
CAND-1450,Candidat 451,Chef de Projet IA,En mission,14
CAND-1451,Candidat 452,Ingénieur Qualité,En mission,5
CAND-1452,Candidat 453,Data Engineer,En mission,2
CAND-1453,Candidat 454,Chef de Projet IA,En entretien,4
CAND-1454,Candidat 455,Chef de Projet IA,En mission,14
CAND-1455,Candidat 456,Consultant PowerBI / Tableau,En mission,10
CAND-1456,Candidat 457,Directeur Transition,En mission,8
