opportunity_id,agence_id,nom_compte_prospect,date_creation,etape_pipeline,valeur_estimee_ca,probabilite_pct
OPP-1025,AG-03,Prospect Tech-26,2024-05-03,Proposition Envoyée,150000.0,75
OPP-1026,AG-07,Prospect Services-27,2025-05-02,Perdue,75000.0,0
OPP-1027,AG-22,Prospect Industrie-28,2024-08-24,Négociation,30000.0,25
OPP-1028,AG-07,Prospect Services-29,2026-03-08,Gagnée (Signée),15000.0,100
OPP-1029,AG-13,Prospect Industrie-30,2024-12-31,Perdue,300000.0,0
OPP-1030,AG-05,Prospect Tech-31,2026-01-28,Gagnée (Signée),150000.0,100
OPP-1031,AG-02,Prospect Services-32,2026-06-30,Proposition Envoyée,30000.0,50
OPP-1032,AG-13,Prospect Services-33,2025-10-16,Proposition Envoyée,75000.0,75
OPP-1033,AG-18,Prospect Services-34,2025-06-13,Perdue,30000.0,0
OPP-1034,AG-01,Prospect Tech-35,2024-09-12,Négociation,15000.0,75
OPP-1035,AG-10,Prospect Industrie-36,2026-07-26,Perdue,30000.0,0
OPP-1036,AG-09,Prospect Tech-37,2025-02-17,Gagnée (Signée),30000.0,100
OPP-1037,AG-17,Prospect Industrie-38,2024-07-16,Gagnée (Signée),75000.0,100
OPP-1038,AG-03,Prospect Tech-39,2024-12-27,Négociation,75000.0,50
OPP-1039,AG-08,Prospect Tech-40,2026-06-10,Gagnée (Signée),30000.0,100
OPP-1040,AG-09,Prospect Tech-41,2024-06-26,Gagnée (Signée),15000.0,100
OPP-1041,AG-16,Prospect Industrie-42,2025-04-21,Gagnée (Signée),15000.0,100
OPP-1042,AG-18,Prospect Industrie-43,2025-10-12,Proposition Envoyée,150000.0,50
OPP-1043,AG-16,Prospect Tech-44,2024-04-04,Gagnée (Signée),15000.0,100
OPP-1044,AG-02,Prospect Tech-45,2024-12-18,Perdue,15000.0,0
OPP-1045,AG-19,Prospect Industrie-46,2026-02-07,Gagnée (Signée),150000.0,100
OPP-1046,AG-04,Prospect Tech-47,2024-07-16,Proposition Envoyée,30000.0,50
OPP-1047,AG-04,Prospect Industrie-48,2026-03-11,Gagnée (Signée),150000.0,100
OPP-1048,AG-16,Prospect Tech-49,2026-03-04,Lead Qualifié,75000.0,50
OPP-1049,AG-11,Prospect Industrie-50,2025-11-12,Lead Qualifié,75000.0,25
OPP-1050,AG-05,Prospect Services-51,2025-04-16,Négociation,30000.0,75
OPP-1051,AG-05,Prospect Tech-52,2026-04-28,Négociation,30000.0,25
OPP-1052,AG-09,Prospect Services-53,2025-03-19,Lead Qualifié,75000.0,75
OPP-1053,AG-04,Prospect Tech-54,2024-11-15,Gagnée (Signée),15000.0,100
OPP-1054,AG-19,Prospect Services-55,2024-05-30,Gagnée (Signée),75000.0,100
OPP-1055,AG-02,Prospect Industrie-56,2024-06-17,Perdue,30000.0,0
OPP-1056,AG-18,Prospect Tech-57,2024-05-22,Lead Qualifié,300000.0,75
OPP-1057,AG-20,Prospect Services-58,2025-02-03,Proposition Envoyée,75000.0,50
OPP-1058,AG-16,Prospect Tech-59,2025-06-28,Négociation,30000.0,25
OPP-1059,AG-01,Prospect Industrie-60,2025-04-17,Négociation,30000.0,50
OPP-1060,AG-08,Prospect Industrie-61,2026-03-15,Proposition Envoyée,30000.0,50
OPP-1061,AG-04,Prospect Tech-62,2024-11-26,Négociation,15000.0,75
OPP-1062,AG-16,Prospect Tech-63,2024-11-13,Négociation,150000.0,50
OPP-1063,AG-09,Prospect Tech-64,2024-07-27,Gagnée (Signée),75000.0,100
OPP-1064,AG-07,Prospect Industrie-65,2025-03-26,Lead Qualifié,30000.0,75
OPP-1065,AG-09,Prospect Tech-66,2025-10-20,Perdue,15000.0,0
OPP-1066,AG-02,Prospect Industrie-67,2024-05-23,Proposition Envoyée,15000.0,75
OPP-1067,AG-22,Prospect Tech-68,2024-08-01,Lead Qualifié,300000.0,50
OPP-1068,AG-12,Prospect Industrie-69,2025-03-01,Lead Qualifié,300000.0,75
OPP-1069,AG-18,Prospect Tech-70,2026-03-30,Gagnée (Signée),300000.0,100
OPP-1070,AG-13,Prospect Tech-71,2025-03-20,Négociation,75000.0,25
OPP-1071,AG-16,Prospect Tech-72,2026-05-08,Gagnée (Signée),30000.0,100
OPP-1072,AG-22,Prospect Industrie-73,2026-01-02,Gagnée (Signée),15000.0,100
OPP-1073,AG-14,Prospect Services-74,2025-02-08,Lead Qualifié,75000.0,25
OPP-1074,AG-16,Prospect Tech-75,2024-11-13,Négociation,30000.0,75
OPP-1075,AG-07,Prospect Services-76,2025-06-17,Lead Qualifié,300000.0,25
OPP-1076,AG-18,Prospect Tech-77,2024-11-21,Proposition Envoyée,150000.0,50
OPP-1077,AG-04,Prospect Industrie-78,2025-11-23,Proposition Envoyée,15000.0,50
OPP-1078,AG-18,Prospect Services-79,2026-05-17,Proposition Envoyée,30000.0,50
OPP-1079,AG-11,Prospect Tech-80,2024-08-31,Perdue,75000.0,0
OPP-1080,AG-10,Prospect Industrie-81,2025-09-12,Lead Qualifié,15000.0,75
OPP-1081,AG-08,Prospect Tech-82,2025-08-20,Lead Qualifié,75000.0,25
OPP-1082,AG-12,Prospect Industrie-83,2025-07-24,Lead Qualifié,30000.0,75
OPP-1083,AG-11,Prospect Tech-84,2026-02-16,Gagnée (Signée),300000.0,100
OPP-1084,AG-05,Prospect Services-85,2025-10-01,Proposition Envoyée,30000.0,75
OPP-1085,AG-19,Prospect Industrie-86,2024-02-28,Proposition Envoyée,15000.0,50
OPP-1086,AG-03,Prospect Industrie-87,2026-01-24,Lead Qualifié,30000.0,25
OPP-1087,AG-01,Prospect Tech-88,2025-03-25,Lead Qualifié,30000.0,75
OPP-1088,AG-16,Prospect Tech-89,2025-04-02,Gagnée (Signée),75000.0,100
OPP-1089,AG-18,Prospect Services-90,2024-07-27,Gagnée (Signée),15000.0,100
OPP-1090,AG-17,Prospect Services-91,2024-10-17,Négociation,15000.0,25
OPP-1091,AG-13,Prospect Tech-92,2026-04-03,Lead Qualifié,75000.0,25
OPP-1092,AG-21,Prospect Tech-93,2024-06-15,Perdue,300000.0,0
OPP-1093,AG-13,Prospect Tech-94,2026-06-07,Gagnée (Signée),30000.0,100
OPP-1094,AG-18,Prospect Tech-95,2026-03-01,Négociation,30000.0,50
OPP-1095,AG-18,Prospect Industrie-96,2025-06-05,Proposition Envoyée,30000.0,50
OPP-1096,AG-08,Prospect Services-97,2025-01-25,Gagnée (Signée),300000.0,100
OPP-1097,AG-09,Prospect Services-98,2024-08-10,Proposition Envoyée,30000.0,75
OPP-1098,AG-12,Prospect Industrie-99,2025-03-06,Gagnée (Signée),15000.0,100
OPP-1099,AG-08,Prospect Tech-100,2024-06-03,Gagnée (Signée),300000.0,100
OPP-1100,AG-18,Prospect Industrie-101,2026-06-04,Gagnée (Signée),15000.0,100
OPP-1101,AG-13,Prospect Tech-102,2024-04-04,Lead Qualifié,15000.0,25
OPP-1102,AG-13,Prospect Industrie-103,2024-04-20,Négociation,30000.0,50
OPP-1103,AG-14,Prospect Tech-104,2025-08-04,Lead Qualifié,75000.0,75
OPP-1104,AG-11,Prospect Services-105,2024-03-15,Négociation,15000.0,50
OPP-1105,AG-20,Prospect Services-106,2026-03-13,Gagnée (Signée),15000.0,100
OPP-1106,AG-10,Prospect Industrie-107,2025-09-30,Proposition Envoyée,300000.0,25
OPP-1107,AG-06,Prospect Services-108,2025-11-25,Lead Qualifié,75000.0,25
OPP-1108,AG-13,Prospect Tech-109,2026-03-06,Proposition Envoyée,15000.0,50
OPP-1109,AG-05,Prospect Industrie-110,2024-10-08,Proposition Envoyée,75000.0,50
OPP-1110,AG-06,Prospect Tech-111,2025-04-16,Négociation,30000.0,75
OPP-1111,AG-21,Prospect Tech-112,2024-04-23,Lead Qualifié,150000.0,25
OPP-1112,AG-06,Prospect Industrie-113,2025-11-15,Proposition Envoyée,75000.0,75
OPP-1113,AG-06,Prospect Tech-114,2025-06-29,Lead Qualifié,150000.0,50
OPP-1114,AG-16,Prospect Tech-115,2024-01-05,Proposition Envoyée,30000.0,50
OPP-1115,AG-12,Prospect Services-116,2025-07-08,Perdue,150000.0,0
OPP-1116,AG-22,Prospect Industrie-117,2024-09-17,Gagnée (Signée),150000.0,100
OPP-1117,AG-03,Prospect Services-118,2024-01-02,Négociation,15000.0,75
OPP-1118,AG-14,Prospect Services-119,2025-12-03,Gagnée (Signée),150000.0,100
OPP-1119,AG-04,Prospect Tech-120,2026-03-01,Négociation,75000.0,75
OPP-1120,AG-08,Prospect Services-121,2026-05-25,Négociation,15000.0,25
OPP-1121,AG-01,Prospect Services-122,2024-02-17,Négociation,15000.0,25
OPP-1122,AG-10,Prospect Tech-123,2024-10-29,Gagnée (Signée),15000.0,100
OPP-1123,AG-20,Prospect Industrie-124,2024-06-04,Perdue,150000.0,0
OPP-1124,AG-16,Prospect Tech-125,2026-04-10,Gagnée (Signée),150000.0,100
OPP-1125,AG-09,Prospect Industrie-126,2025-01-21,Lead Qualifié,30000.0,50
OPP-1126,AG-02,Prospect Services-127,2025-08-10,Perdue,15000.0,0
OPP-1127,AG-13,Prospect Tech-128,2025-05-27,Négociation,75000.0,50
OPP-1128,AG-07,Prospect Industrie-129,2026-04-10,Gagnée (Signée),75000.0,100
OPP-1129,AG-14,Prospect Industrie-130,2025-04-24,Lead Qualifié,15000.0,50
OPP-1130,AG-10,Prospect Services-131,2025-02-08,Proposition Envoyée,150000.0,50
OPP-1131,AG-03,Prospect Industrie-132,2024-11-26,Perdue,30000.0,0
OPP-1132,AG-04,Prospect Services-133,2025-07-13,Gagnée (Signée),150000.0,100
OPP-1133,AG-20,Prospect Industrie-134,2024-05-16,Négociation,30000.0,50
OPP-1134,AG-04,Prospect Services-135,2024-07-25,Gagnée (Signée),15000.0,100
OPP-1135,AG-14,Prospect Services-136,2025-01-05,Négociation,30000.0,25
OPP-1136,AG-14,Prospect Industrie-137,2024-04-04,Proposition Envoyée,15000.0,75
OPP-1137,AG-16,Prospect Services-138,2024-11-10,Lead Qualifié,30000.0,50
OPP-1138,AG-16,Prospect Services-139,2025-03-30,Proposition Envoyée,15000.0,50
OPP-1139,AG-03,Prospect Tech-140,2025-05-16,Négociation,30000.0,75
OPP-1140,AG-19,Prospect Services-141,2024-11-27,Lead Qualifié,150000.0,75
OPP-1141,AG-13,Prospect Industrie-142,2025-07-22,Gagnée (Signée),30000.0,100
OPP-1142,AG-21,Prospect Tech-143,2024-08-17,Lead Qualifié,15000.0,25
OPP-1143,AG-10,Prospect Services-144,2024-10-07,Lead Qualifié,15000.0,75
OPP-1144,AG-07,Prospect Industrie-145,2026-06-15,Proposition Envoyée,15000.0,75
OPP-1145,AG-06,Prospect Tech-146,2025-04-27,Gagnée (Signée),15000.0,100
OPP-1146,AG-08,Prospect Tech-147,2026-01-05,Lead Qualifié,15000.0,25
OPP-1147,AG-20,Prospect Tech-148,2025-03-12,Négociation,15000.0,25
OPP-1148,AG-18,Prospect Services-149,2024-04-06,Perdue,300000.0,0
OPP-1149,AG-11,Prospect Services-150,2024-03-12,Négociation,300000.0,50
OPP-1150,AG-07,Prospect Tech-151,2025-05-31,Gagnée (Signée),30000.0,100
OPP-1151,AG-22,Prospect Services-152,2024-06-04,Proposition Envoyée,15000.0,25
OPP-1152,AG-21,Prospect Tech-153,2024-02-25,Lead Qualifié,75000.0,75
OPP-1153,AG-05,Prospect Services-154,2025-09-17,Négociation,30000.0,75
OPP-1154,AG-10,Prospect Services-155,2024-06-06,Lead Qualifié,30000.0,75
OPP-1155,AG-07,Prospect Services-156,2025-08-30,Lead Qualifié,15000.0,75
OPP-1156,AG-03,Prospect Services-157,2024-03-03,Proposition Envoyée,30000.0,25
OPP-1157,AG-19,Prospect Tech-158,2024-02-07,Lead Qualifié,150000.0,25
OPP-1158,AG-14,Prospect Tech-159,2025-12-25,Gagnée (Signée),15000.0,100
OPP-1159,AG-20,Prospect Tech-160,2025-12-25,Lead Qualifié,15000.0,25
OPP-1160,AG-20,Prospect Services-161,2024-10-07,Lead Qualifié,300000.0,75
OPP-1161,AG-11,Prospect Tech-162,2026-06-15,Lead Qualifié,75000.0,25
OPP-1162,AG-14,Prospect Industrie-163,2026-07-15,Proposition Envoyée,75000.0,75
OPP-1163,AG-01,Prospect Services-164,2025-02-01,Proposition Envoyée,75000.0,25
OPP-1164,AG-01,Prospect Services-165,2024-01-14,Lead Qualifié,15000.0,75
OPP-1165,AG-20,Prospect Tech-166,2025-10-12,Proposition Envoyée,150000.0,25
OPP-1166,AG-22,Prospect Industrie-167,2025-02-04,Lead Qualifié,150000.0,25
OPP-1167,AG-22,Prospect Services-168,2024-02-06,Proposition Envoyée,30000.0,50
OPP-1168,AG-10,Prospect Tech-169,2024-07-18,Lead Qualifié,30000.0,50
OPP-1169,AG-16,Prospect Industrie-170,2026-01-06,Lead Qualifié,30000.0,50
OPP-1170,AG-17,Prospect Tech-171,2024-10-04,Lead Qualifié,30000.0,75
OPP-1171,AG-21,Prospect Industrie-172,2024-08-12,Négociation,150000.0,50
OPP-1172,AG-17,Prospect Industrie-173,2025-03-07,Perdue,15000.0,0
OPP-1173,AG-12,Prospect Services-174,2026-03-30,Gagnée (Signée),30000.0,100
OPP-1174,AG-17,Prospect Tech-175,2024-08-20,Gagnée (Signée),15000.0,100
OPP-1175,AG-06,Prospect Services-176,2024-05-30,Négociation,30000.0,75
OPP-1176,AG-20,Prospect Industrie-177,2024-04-26,Négociation,30000.0,25
OPP-1177,AG-08,Prospect Industrie-178,2024-01-16,Lead Qualifié,75000.0,25
OPP-1178,AG-06,Prospect Industrie-179,2025-04-27,Lead Qualifié,15000.0,25
OPP-1179,AG-05,Prospect Tech-180,2025-10-21,Lead Qualifié,15000.0,75
OPP-1180,AG-04,Prospect Tech-181,2025-05-02,Lead Qualifié,300000.0,50
OPP-1181,AG-19,Prospect Tech-182,2024-09-12,Perdue,30000.0,0
OPP-1182,AG-11,Prospect Industrie-183,2026-07-21,Perdue,75000.0,0
OPP-1183,AG-11,Prospect Services-184,2025-10-17,Gagnée (Signée),75000.0,100
OPP-1184,AG-11,Prospect Services-185,2025-01-16,Négociation,30000.0,50
OPP-1185,AG-22,Prospect Services-186,2025-01-01,Lead Qualifié,15000.0,75
OPP-1186,AG-04,Prospect Services-187,2026-05-12,Lead Qualifié,30000.0,75
OPP-1187,AG-03,Prospect Industrie-188,2026-01-22,Proposition Envoyée,15000.0,50
OPP-1188,AG-12,Prospect Industrie-189,2026-04-17,Perdue,300000.0,0
OPP-1189,AG-01,Prospect Industrie-190,2025-10-08,Gagnée (Signée),15000.0,100
OPP-1190,AG-14,Prospect Tech-191,2025-11-14,Proposition Envoyée,150000.0,75
OPP-1191,AG-17,Prospect Services-192,2026-01-08,Gagnée (Signée),15000.0,100
OPP-1192,AG-20,Prospect Services-193,2025-10-18,Proposition Envoyée,15000.0,75
OPP-1193,AG-21,Prospect Industrie-194,2026-03-08,Perdue,75000.0,0
OPP-1194,AG-10,Prospect Tech-195,2026-01-12,Proposition Envoyée,30000.0,50
OPP-1195,AG-22,Prospect Services-196,2025-09-17,Négociation,15000.0,75
OPP-1196,AG-19,Prospect Tech-197,2026-02-18,Lead Qualifié,150000.0,25
OPP-1197,AG-16,Prospect Industrie-198,2024-11-27,Lead Qualifié,75000.0,50
OPP-1198,AG-05,Prospect Industrie-199,2025-07-22,Lead Qualifié,30000.0,75
OPP-1199,AG-16,Prospect Services-200,2024-03-05,Négociation,150000.0,25
OPP-1200,AG-11,Prospect Industrie-201,2024-07-22,Lead Qualifié,300000.0,50
OPP-1201,AG-03,Prospect Tech-202,2026-03-17,Gagnée (Signée),15000.0,100
OPP-1202,AG-06,Prospect Tech-203,2025-02-11,Perdue,30000.0,0
OPP-1203,AG-03,Prospect Services-204,2025-02-12,Gagnée (Signée),30000.0,100
OPP-1204,AG-14,Prospect Industrie-205,2024-07-28,Gagnée (Signée),150000.0,100
OPP-1205,AG-19,Prospect Tech-206,2025-03-02,Négociation,15000.0,50
OPP-1206,AG-08,Prospect Tech-207,2026-06-10,Gagnée (Signée),75000.0,100
OPP-1207,AG-01,Prospect Services-208,2026-04-12,Lead Qualifié,75000.0,25
OPP-1208,AG-19,Prospect Industrie-209,2024-12-27,Perdue,30000.0,0
OPP-1209,AG-05,Prospect Industrie-210,2025-04-01,Négociation,30000.0,75
OPP-1210,AG-08,Prospect Services-211,2024-03-13,Négociation,15000.0,50
OPP-1211,AG-08,Prospect Tech-212,2024-01-26,Perdue,150000.0,0
OPP-1212,AG-04,Prospect Industrie-213,2024-10-28,Négociation,15000.0,50
OPP-1213,AG-20,Prospect Tech-214,2026-06-13,Lead Qualifié,30000.0,75
OPP-1214,AG-01,Prospect Tech-215,2025-10-05,Lead Qualifié,150000.0,25
OPP-1215,AG-15,Prospect Industrie-216,2026-05-07,Négociation,75000.0,50
OPP-1216,AG-07,Prospect Services-217,2025-05-29,Négociation,15000.0,50
OPP-1217,AG-14,Prospect Services-218,2025-06-22,Négociation,30000.0,75
OPP-1218,AG-04,Prospect Tech-219,2024-04-25,Proposition Envoyée,15000.0,25
OPP-1219,AG-22,Prospect Industrie-220,2024-01-17,Proposition Envoyée,150000.0,75
OPP-1220,AG-09,Prospect Tech-221,2024-08-07,Proposition Envoyée,15000.0,75
OPP-1221,AG-02,Prospect Tech-222,2024-12-24,Gagnée (Signée),15000.0,100
OPP-1222,AG-18,Prospect Tech-223,2026-07-26,Lead Qualifié,75000.0,50
OPP-1223,AG-17,Prospect Services-224,2025-03-11,Proposition Envoyée,300000.0,25
OPP-1224,AG-21,Prospect Industrie-225,2026-07-17,Négociation,75000.0,50
OPP-1225,AG-16,Prospect Tech-226,2025-11-25,Gagnée (Signée),30000.0,100
OPP-1226,AG-14,Prospect Industrie-227,2025-05-13,Négociation,75000.0,75
OPP-1227,AG-08,Prospect Industrie-228,2025-07-10,Gagnée (Signée),75000.0,100
OPP-1228,AG-13,Prospect Industrie-229,2024-06-18,Proposition Envoyée,150000.0,50
OPP-1229,AG-18,Prospect Industrie-230,2024-09-11,Proposition Envoyée,75000.0,25
OPP-1230,AG-22,Prospect Services-231,2024-09-26,Perdue,75000.0,0
OPP-1231,AG-11,Prospect Industrie-232,2025-07-06,Lead Qualifié,300000.0,25
OPP-1232,AG-11,Prospect Tech-233,2025-11-08,Lead Qualifié,150000.0,25
OPP-1233,AG-21,Prospect Industrie-234,2026-07-03,Gagnée (Signée),30000.0,100
OPP-1234,AG-22,Prospect Tech-235,2026-06-30,Négociation,30000.0,50
OPP-1235,AG-08,Prospect Industrie-236,2024-06-18,Négociation,300000.0,25
OPP-1236,AG-01,Prospect Tech-237,2025-05-22,Négociation,15000.0,25
OPP-1237,AG-05,Prospect Industrie-238,2025-07-10,Négociation,15000.0,25
OPP-1238,AG-05,Prospect Services-239,2024-12-27,Gagnée (Signée),30000.0,100
OPP-1239,AG-05,Prospect Industrie-240,2024-06-07,Lead Qualifié,150000.0,75
OPP-1240,AG-18,Prospect Services-241,2025-12-30,Négociation,30000.0,50
OPP-1241,AG-09,Prospect Services-242,2024-08-25,Lead Qualifié,30000.0,25
OPP-1242,AG-05,Prospect Industrie-243,2025-03-19,Négociation,30000.0,50
OPP-1243,AG-19,Prospect Tech-244,2025-12-12,Lead Qualifié,300000.0,25
OPP-1244,AG-09,Prospect Industrie-245,2024-06-15,Proposition Envoyée,75000.0,50
OPP-1245,AG-13,Prospect Services-246,2024-11-19,Lead Qualifié,150000.0,75
OPP-1246,AG-03,Prospect Tech-247,2024-12-29,Négociation,15000.0,75
OPP-1247,AG-06,Prospect Tech-248,2024-06-20,Négociation,15000.0,25
OPP-1248,AG-10,Prospect Tech-249,2026-04-14,Lead Qualifié,30000.0,25
OPP-1249,AG-16,Prospect Services-250,2024-02-24,Proposition Envoyée,75000.0,25
OPP-1250,AG-07,Prospect Services-251,2024-03-29,Proposition Envoyée,150000.0,25
OPP-1251,AG-01,Prospect Tech-252,2025-09-16,Proposition Envoyée,30000.0,50
OPP-1252,AG-16,Prospect Industrie-253,2025-04-30,Lead Qualifié,75000.0,75
OPP-1253,AG-07,Prospect Industrie-254,2026-04-23,Proposition Envoyée,75000.0,50
OPP-1254,AG-20,Prospect Services-255,2025-03-31,Proposition Envoyée,75000.0,75
OPP-1255,AG-18,Prospect Services-256,2024-06-06,Proposition Envoyée,30000.0,75
OPP-1256,AG-10,Prospect Industrie-257,2025-06-23,Négociation,15000.0,25
OPP-1257,AG-22,Prospect Services-258,2025-12-30,Lead Qualifié,300000.0,75
OPP-1258,AG-09,Prospect Tech-259,2024-01-15,Proposition Envoyée,150000.0,75
OPP-1259,AG-06,Prospect Services-260,2026-07-30,Proposition Envoyée,30000.0,50
OPP-1260,AG-14,Prospect Services-261,2025-03-27,Négociation,15000.0,50
OPP-1261,AG-09,Prospect Services-262,2025-08-23,Négociation,30000.0,25
OPP-1262,AG-06,Prospect Services-263,2026-03-17,Lead Qualifié,30000.0,25
OPP-1263,AG-12,Prospect Industrie-264,2024-08-17,Perdue,75000.0,0
OPP-1264,AG-22,Prospect Services-265,2026-03-10,Lead Qualifié,30000.0,50
OPP-1265,AG-22,Prospect Tech-266,2024-02-20,Proposition Envoyée,15000.0,25
OPP-1266,AG-07,Prospect Tech-267,2025-04-19,Gagnée (Signée),15000.0,100
OPP-1267,AG-22,Prospect Industrie-268,2025-05-02,Proposition Envoyée,300000.0,75
OPP-1268,AG-11,Prospect Services-269,2025-10-26,Lead Qualifié,15000.0,25
OPP-1269,AG-05,Prospect Services-270,2024-09-19,Perdue,150000.0,0
OPP-1270,AG-09,Prospect Industrie-271,2024-07-22,Gagnée (Signée),30000.0,100
OPP-1271,AG-14,Prospect Industrie-272,2025-07-29,Perdue,15000.0,0
OPP-1272,AG-17,Prospect Industrie-273,2024-06-19,Négociation,75000.0,25
OPP-1273,AG-14,Prospect Tech-274,2026-08-01,Proposition Envoyée,30000.0,50
OPP-1274,AG-14,Prospect Industrie-275,2025-02-12,Proposition Envoyée,15000.0,75
OPP-1275,AG-09,Prospect Tech-276,2024-08-03,Gagnée (Signée),75000.0,100
OPP-1276,AG-04,Prospect Services-277,2024-12-22,Lead Qualifié,75000.0,50
OPP-1277,AG-17,Prospect Services-278,2026-07-08,Proposition Envoyée,30000.0,50
OPP-1278,AG-15,Prospect Tech-279,2024-04-17,Négociation,30000.0,75
OPP-1279,AG-17,Prospect Tech-280,2025-03-14,Lead Qualifié,30000.0,25
OPP-1280,AG-20,Prospect Tech-281,2024-03-25,Négociation,30000.0,75
OPP-1281,AG-06,Prospect Services-282,2024-07-25,Perdue,30000.0,0
OPP-1282,AG-05,Prospect Tech-283,2024-09-06,Négociation,15000.0,75
OPP-1283,AG-22,Prospect Tech-284,2025-11-24,Proposition Envoyée,30000.0,25
OPP-1284,AG-13,Prospect Tech-285,2026-02-15,Lead Qualifié,15000.0,75
OPP-1285,AG-06,Prospect Industrie-286,2024-01-07,Perdue,15000.0,0
OPP-1286,AG-20,Prospect Tech-287,2025-06-13,Négociation,30000.0,25
OPP-1287,AG-14,Prospect Services-288,2025-07-04,Proposition Envoyée,75000.0,50
OPP-1288,AG-12,Prospect Tech-289,2025-02-08,Gagnée (Signée),15000.0,100
OPP-1289,AG-08,Prospect Services-290,2024-05-01,Négociation,75000.0,50
OPP-1290,AG-03,Prospect Industrie-291,2024-10-14,Négociation,15000.0,75
OPP-1291,AG-18,Prospect Industrie-292,2024-09-27,Lead Qualifié,30000.0,50
OPP-1292,AG-02,Prospect Tech-293,2024-06-30,Négociation,300000.0,25
OPP-1293,AG-15,Prospect Industrie-294,2025-06-04,Gagnée (Signée),30000.0,100
OPP-1294,AG-22,Prospect Services-295,2024-04-07,Gagnée (Signée),15000.0,100
OPP-1295,AG-15,Prospect Tech-296,2026-05-24,Proposition Envoyée,30000.0,25
OPP-1296,AG-18,Prospect Tech-297,2026-05-14,Lead Qualifié,150000.0,25
OPP-1297,AG-08,Prospect Industrie-298,2026-03-23,Négociation,30000.0,75
OPP-1298,AG-12,Prospect Tech-299,2024-11-24,Gagnée (Signée),30000.0,100
OPP-1299,AG-11,Prospect Industrie-300,2026-04-24,Gagnée (Signée),30000.0,100
OPP-1300,AG-12,Prospect Industrie-301,2024-08-31,Gagnée (Signée),15000.0,100
OPP-1301,AG-15,Prospect Tech-302,2024-06-04,Perdue,300000.0,0
OPP-1302,AG-22,Prospect Services-303,2025-09-29,Proposition Envoyée,30000.0,50
OPP-1303,AG-09,Prospect Services-304,2026-07-22,Proposition Envoyée,150000.0,25
OPP-1304,AG-06,Prospect Industrie-305,2024-02-01,Proposition Envoyée,300000.0,25
OPP-1305,AG-05,Prospect Industrie-306,2025-08-13,Négociation,75000.0,25
OPP-1306,AG-01,Prospect Industrie-307,2025-01-24,Gagnée (Signée),15000.0,100
OPP-1307,AG-06,Prospect Tech-308,2025-07-14,Gagnée (Signée),15000.0,100
OPP-1308,AG-09,Prospect Industrie-309,2025-03-30,Gagnée (Signée),30000.0,100
OPP-1309,AG-07,Prospect Services-310,2026-07-30,Négociation,15000.0,25
OPP-1310,AG-04,Prospect Industrie-311,2026-06-09,Proposition Envoyée,15000.0,75
OPP-1311,AG-15,Prospect Tech-312,2024-08-27,Proposition Envoyée,15000.0,25
OPP-1312,AG-19,Prospect Services-313,2024-05-29,Lead Qualifié,15000.0,25
OPP-1313,AG-02,Prospect Services-314,2026-06-21,Proposition Envoyée,300000.0,75
